1 -0.369275  0.066225 252
2 -0.557325  0.07156875 436
3 -0.667925  0.074966667 597
4 -0.71918125  0.06125 745
5 -0.751125  0.0583075 912
6 -0.79709583  0.05448125 1039
7 -0.82723929  0.050717857 1182
8 -0.8443375  0.046582813 1343
9 -0.86299167  0.051393056 1492
10 -0.8817175  0.05928125 1620
11 -0.89973182  0.069090909 1757
12 -0.9163  0.078847917 1866
13 -0.92684615  0.088938462 1992
14 -0.93571429  0.094232143 2112
15 -0.94476167  0.095244167 2244
16 -0.954725  0.095382812 2377
17 -0.95842794  0.095671324 2524
18 -0.95917083  0.095981944 2670
19 -0.95490658  0.094994737 2826
20 -0.9543425  0.096333125 2978
21 -0.95121548  0.095819643 3114
22 -0.94887955  0.092598864 3274
23 -0.94892283  0.089564674 3419
24 -0.95131979  0.088945312 3569
25 -0.955653  0.089129 3701
26 -0.96158942  0.089690385 3818
27 -0.96503056  0.090375 3930
28 -0.9684  0.090187946 4052
29 -0.97422414  0.088159483 4177
30 -0.9802425  0.086559167 4292
31 -0.98179194  0.085844355 4426
32 -0.98300156  0.087854688 4555
33 -0.98378333  0.09026553 4691
34 -0.98304338  0.091709559 4844
35 -0.98359714  0.0939375 4978
36 -0.98490208  0.096507986 5117
37 -0.98736622  0.099280405 5242
38 -0.99053026  0.10158651 5376
39 -0.99257692  0.10418622 5524
40 -0.99684  0.10795969 5646
41 -0.99955793  0.11204421 5779
42 -1.0027982  0.11735923 5909
43 -1.0046233  0.12115262 6050
44 -1.005496  0.12362188 6190
45 -1.007035  0.12689028 6317
46 -1.0078326  0.13102962 6445
47 -1.0090878  0.13405798 6557
48 -1.0104474  0.13719635 6694
49 -1.0141679  0.14065255 6799
50 -1.0180905  0.1442845 6883
51 -1.0224093  0.14906912 6996
52 -1.0262543  0.15386995 7111
53 -1.0300057  0.15714528 7232
54 -1.0333463  0.16021574 7331
55 -1.0375891  0.16289045 7417
56 -1.0406366  0.16551272 7536
57 -1.042007  0.16804561 7663
58 -1.0464246  0.17133427 7762
59 -1.0505551  0.174825 7866
60 -1.0544712  0.17837875 7986
61 -1.0583041  0.18069652 8100
62 -1.0636649  0.18341895 8189
63 -1.0681563  0.18561607 8278
64 -1.0714098  0.18856445 8388
65 -1.0744854  0.19152135 8481
66 -1.0774114  0.19398068 8597
67 -1.0777604  0.19541884 8715
68 -1.0787801  0.19622279 8831
69 -1.0801406  0.19704547 8948
70 -1.0811957  0.19667357 9069
71 -1.0824905  0.1964993 9185
72 -1.082591  0.19657292 9319
73 -1.0826274  0.19738493 9446
74 -1.0827176  0.19763007 9573
75 -1.0827563  0.19857983 9696
76 -1.0830911  0.1999227 9831
77 -1.083324  0.20128539 9957
78 -1.0837  0.20205529 10085
79 -1.0842737  0.20206994 10187
80 -1.0827197  0.20181875 10344
81 -1.0806852  0.20142701 10486
82 -1.0802811  0.20106814 10610
83 -1.080647  0.20087786 10740
84 -1.0805339  0.20080179 10866
85 -1.0802515  0.20041059 11000
86 -1.0810526  0.2005032 11134
87 -1.081971  0.20091566 11239
88 -1.0828187  0.20107869 11367
89 -1.0840447  0.20166756 11451
90 -1.0855017  0.20188125 11568
91 -1.0860505  0.20148764 11674
92 -1.0864671  0.20053641 11784
93 -1.087361  0.19878858 11906
94 -1.0879739  0.19705053 12012
