1 -2  1 0
191 -1.9966376  0.99912651 62
192 -1.9966551  0.99913105 62
193 -1.9966724  0.99913556 62
194 -1.9966896  0.99914001 62
195 -1.9967065  0.99914442 62
196 -1.9967233  0.99914879 62
197 -1.99674  0.99915311 62
198 -1.9967564  0.99915739 62
199 -1.9967727  0.99916162 62
200 -1.9967889  0.99916581 62
201 -1.9968049  0.99916996 62
202 -1.9968207  0.99917407 62
203 -1.9968363  0.99917814 62
204 -1.9968518  0.99918217 62
205 -1.9968672  0.99918616 62
206 -1.9968693  0.99918683 63
207 -1.9967878  0.99916661 63
208 -1.9967071  0.99914657 63
209 -1.9966903  0.99914252 64
210 -1.9967061  0.99914661 64
211 -1.9967217  0.99915065 64
212 -1.996723  0.99915112 66
213 -1.9967384  0.99915511 66
214 -1.9967536  0.99915905 66
215 -1.9967687  0.99916297 66
216 -1.9967552  0.99915972 68
217 -1.9967702  0.99916359 68
218 -1.9967398  0.99915614 70
219 -1.996665  0.99913756 71
220 -1.9966033  0.99912227 72
221 -1.996618  0.99912607 74
222 -1.9966332  0.99913001 74
223 -1.9966483  0.99913391 74
224 -1.9966633  0.99913778 74
225 -1.9966781  0.99914161 74
226 -1.9966928  0.99914541 74
227 -1.9967074  0.99914917 74
228 -1.9967218  0.99915291 74
229 -1.9967361  0.9991566 74
230 -1.9967503  0.99916027 74
231 -1.9967644  0.99916391 74
232 -1.9967783  0.99916751 74
233 -1.9967922  0.99917108 74
234 -1.9968059  0.99917463 74
235 -1.9968195  0.99917814 74
236 -1.9968329  0.99918162 74
237 -1.9968463  0.99918507 74
238 -1.9968596  0.9991885 74
239 -1.9968727  0.99919189 74
240 -1.9968857  0.99919526 74
241 -1.9968987  0.9991986 74
242 -1.9969115  0.99920191 74
243 -1.9969242  0.9992052 74
244 -1.9969368  0.99920845 74
245 -1.9969493  0.99921168 74
246 -1.9969379  0.99920894 75
247 -1.9968693  0.9991919 75
248 -1.9968622  0.99919022 77
249 -1.9968445  0.99918589 78
250 -1.9968571  0.99918915 78
251 -1.9968134  0.99917834 79
252 -1.9967878  0.99917202 80
253 -1.9968005  0.9991753 80
254 -1.9968131  0.99917854 80
255 -1.9968256  0.99918176 80
256 -1.996838  0.99918496 80
257 -1.9968503  0.99918813 80
258 -1.9968625  0.99919128 80
259 -1.9968746  0.9991944 80
260 -1.9968866  0.9991975 80
261 -1.9968986  0.99920057 80
262 -1.9969104  0.99920363 80
263 -1.9969221  0.99920665 80
264 -1.9969319  0.99920919 82
265 -1.9969435  0.99921217 82
266 -1.996955  0.99921513 82
267 -1.996922  0.99920698 83
268 -1.9968589  0.99919128 83
269 -1.9967962  0.9991757 83
270 -1.996734  0.99916023 83
271 -1.9967357  0.99916075 84
272 -1.9967477  0.99916383 84
273 -1.9967596  0.9991669 84
274 -1.9967714  0.99916994 84
275 -1.9967832  0.99917295 84
276 -1.9967948  0.99917595 84
277 -1.9968064  0.99917893 84
278 -1.9967654  0.99916875 85
279 -1.9967737  0.99917092 86
280 -1.9967853  0.99917388 86
281 -1.9967967  0.99917682 86
282 -1.9968081  0.99917974 86
283 -1.9968193  0.99918264 86
284 -1.9968305  0.99918552 86
285 -1.9968417  0.99918838 86
286 -1.9968527  0.99919122 86
287 -1.9968637  0.99919403 86
288 -1.9968746  0.99919683 86
289 -1.9968854  0.99919961 86
290 -1.9968961  0.99920237 86
291 -1.9969068  0.99920511 86
292 -1.9968617  0.99919392 87
293 -1.9968042  0.99917961 87
294 -1.9967496  0.99916603 88
295 -1.9967606  0.99916886 88
296 -1.9967715  0.99917166 88
297 -1.9967824  0.99917445 88
298 -1.9967932  0.99917722 88
299 -1.9968039  0.99917997 88
300 -1.9968146  0.99918271 88
301 -1.9967981  0.99917865 89
302 -1.9967425  0.99916482 89
303 -1.9967301  0.9991618 90
304 -1.9967409  0.99916456 90
305 -1.9967412  0.99916471 92
306 -1.9967519  0.99916744 92
307 -1.9967625  0.99917015 92
308 -1.9967645  0.99917074 94
309 -1.996775  0.99917342 94
310 -1.9967854  0.99917609 94
311 -1.9967957  0.99917874 94
312 -1.996806  0.99918137 94
313 -1.9968162  0.99918399 94
314 -1.9968264  0.99918658 94
315 -1.9968364  0.99918917 94
316 -1.9968464  0.99919173 94
317 -1.9968564  0.99919428 94
318 -1.9968461  0.99919178 97
319 -1.9968426  0.99919095 98
320 -1.9968524  0.99919348 98
321 -1.9968622  0.99919599 98
322 -1.996872  0.99919849 98
323 -1.9968817  0.99920097 98
324 -1.9968913  0.99920343 98
325 -1.9969008  0.99920588 98
326 -1.9969104  0.99920832 98
327 -1.9969117  0.99920872 99
328 -1.9968583  0.99919543 102
329 -1.9968679  0.99919787 102
330 -1.9968773  0.9992003 102
331 -1.9968868  0.99920272 102
332 -1.9968822  0.99920162 103
333 -1.9968315  0.999189 103
334 -1.9967811  0.99917646 103
335 -1.996731  0.99916399 103
336 -1.9967343  0.99916488 104
337 -1.996744  0.99916736 104
338 -1.9967536  0.99916982 104
339 -1.9967632  0.99917227 104
340 -1.9967727  0.99917471 104
341 -1.9967822  0.99917713 104
342 -1.9967916  0.99917953 104
343 -1.9968009  0.99918192 104
344 -1.9968102  0.9991843 104
345 -1.9968195  0.99918667 104
346 -1.9968287  0.99918902 104
347 -1.9968378  0.99919135 104
348 -1.9968469  0.99919368 104
349 -1.9968559  0.99919599 104
350 -1.9968349  0.99919079 108
351 -1.9968439  0.99919309 108
352 -1.9968529  0.99919538 108
353 -1.996856  0.99919621 110
354 -1.9968649  0.99919848 110
355 -1.9968737  0.99920074 110
356 -1.9968825  0.99920298 110
357 -1.9968912  0.99920522 110
358 -1.9968999  0.99920744 110
359 -1.9969086  0.99920964 110
360 -1.9969172  0.99921184 110
361 -1.9969257  0.99921402 110
362 -1.9969342  0.99921619 110
363 -1.9969426  0.99921835 110
364 -1.996951  0.9992205 110
365 -1.9969232  0.9992136 111
366 -1.9968749  0.99920157 113
367 -1.996829  0.99919012 113
368 -1.9967832  0.99917874 113
369 -1.9967904  0.99918059 114
370 -1.9967991  0.9991828 114
371 -1.9968077  0.99918501 114
372 -1.9968163  0.9991872 114
373 -1.9968249  0.99918938 114
374 -1.9968334  0.99919154 114
375 -1.9968418  0.9991937 114
376 -1.9968502  0.99919584 114
377 -1.9968586  0.99919798 114
378 -1.9968669  0.9992001 114
379 -1.9968751  0.99920221 114
380 -1.9968834  0.99920431 114
381 -1.9968915  0.9992064 114
382 -1.9968997  0.99920848 114
383 -1.9969078  0.99921054 114
384 -1.9969158  0.9992126 114
385 -1.9969238  0.99921464 114
386 -1.9969318  0.99921668 114
387 -1.9969397  0.9992187 114
388 -1.9969476  0.99922072 114
389 -1.9969555  0.99922272 114
390 -1.9969633  0.99922471 114
391 -1.996971  0.99922669 114
392 -1.9969788  0.99922867 114
393 -1.9969789  0.99922875 115
394 -1.9969766  0.9992282 116
395 -1.9969842  0.99923016 116
396 -1.9969919  0.9992321 116
397 -1.9969994  0.99923404 116
398 -1.997007  0.99923596 116
399 -1.9970145  0.99923788 116
400 -1.9970219  0.99923978 116
401 -1.9970294  0.99924168 116
402 -1.9970368  0.99924356 116
403 -1.9970441  0.99924544 116
404 -1.9970514  0.99924731 116
405 -1.9970587  0.99924917 116
406 -1.9970659  0.99925102 116
407 -1.9970732  0.99925286 116
408 -1.9970803  0.99925469 116
409 -1.9970875  0.99925651 116
410 -1.9970946  0.99925832 116
411 -1.9971016  0.99926013 116
412 -1.9971087  0.99926192 116
413 -1.9970899  0.99925726 117
414 -1.9970675  0.99925169 118
415 -1.9970745  0.99925349 118
416 -1.9970596  0.99924979 119
417 -1.9970186  0.9992396 119
418 -1.9970237  0.99924091 120
419 -1.9970308  0.99924272 120
420 -1.9970185  0.99923967 121
421 -1.9969781  0.9992296 121
422 -1.9969412  0.99922041 122
423 -1.9969484  0.99922225 122
424 -1.9969556  0.99922409 122
425 -1.9969628  0.99922591 122
426 -1.9969699  0.99922773 122
427 -1.996977  0.99922954 122
428 -1.9969841  0.99923134 122
429 -1.9969694  0.99922771 124
430 -1.9969765  0.99922951 124
431 -1.9969835  0.99923129 124
432 -1.9969905  0.99923307 124
433 -1.9969974  0.99923484 124
434 -1.9970043  0.99923661 124
435 -1.9970112  0.99923836 124
436 -1.9970181  0.99924011 124
