1 -2  1 0
1719 -1.9969325  0.99921752 500
1720 -1.9969342  0.99921797 500
1721 -1.996936  0.99921843 500
1722 -1.9969378  0.99921888 500
1723 -1.9969396  0.99921933 500
1724 -1.9969414  0.99921979 500
1725 -1.9969431  0.99922024 500
1726 -1.9969449  0.99922069 500
1727 -1.9969467  0.99922114 500
1728 -1.9969484  0.99922159 500
1729 -1.9969388  0.9992192 501
1730 -1.996929  0.99921676 501
1731 -1.9969293  0.99921683 504
1732 -1.996931  0.99921728 504
1733 -1.9969328  0.99921773 504
1734 -1.9969346  0.99921818 504
1735 -1.9969354  0.99921839 505
1736 -1.9969266  0.9992162 506
1737 -1.9969284  0.99921665 506
1738 -1.9969301  0.9992171 506
1739 -1.9969319  0.99921755 506
1740 -1.9969336  0.999218 506
1741 -1.9969354  0.99921845 506
1742 -1.9969372  0.9992189 506
1743 -1.9969389  0.99921935 506
1744 -1.9969407  0.9992198 506
1745 -1.9969424  0.99922024 506
1746 -1.9969442  0.99922069 506
1747 -1.9969459  0.99922114 506
1748 -1.9969477  0.99922158 506
1749 -1.9969494  0.99922203 506
1750 -1.9969512  0.99922247 506
1751 -1.9969529  0.99922292 506
1752 -1.9969547  0.99922336 506
1753 -1.9969552  0.99922352 507
1754 -1.9969419  0.9992202 509
1755 -1.9969322  0.99921776 512
1756 -1.9969339  0.99921821 512
1757 -1.9969357  0.99921865 512
1758 -1.9969374  0.9992191 512
1759 -1.9969391  0.99921954 512
1760 -1.9969409  0.99921999 512
1761 -1.9969426  0.99922043 512
1762 -1.9969363  0.99921886 514
1763 -1.9969381  0.99921931 514
1764 -1.9969398  0.99921975 514
1765 -1.9969415  0.99922019 514
1766 -1.9969433  0.99922063 514
1767 -1.996945  0.99922107 514
1768 -1.9969467  0.99922151 514
1769 -1.9969484  0.99922195 514
1770 -1.9969502  0.99922239 514
1771 -1.9969519  0.99922283 514
1772 -1.9969536  0.99922327 514
1773 -1.9969515  0.99922276 515
1774 -1.996942  0.99922038 515
1775 -1.996942  0.9992204 516
1776 -1.9969438  0.99922084 516
1777 -1.9969455  0.99922128 516
1778 -1.9969472  0.99922172 516
1779 -1.9969489  0.99922215 516
1780 -1.9969506  0.99922259 516
1781 -1.9969523  0.99922303 516
1782 -1.996954  0.99922346 516
1783 -1.9969557  0.9992239 516
1784 -1.9969575  0.99922433 516
1785 -1.9969592  0.99922477 516
1786 -1.9969609  0.9992252 516
1787 -1.9969626  0.99922564 516
1788 -1.9969643  0.99922607 516
1789 -1.996966  0.9992265 516
1790 -1.9969677  0.99922693 516
1791 -1.9969693  0.99922737 516
1792 -1.996971  0.9992278 516
1793 -1.9969727  0.99922823 516
1794 -1.9969728  0.99922826 517
1795 -1.9969684  0.99922716 518
1796 -1.9969701  0.99922759 518
1797 -1.9969718  0.99922802 518
1798 -1.9969734  0.99922845 518
1799 -1.9969751  0.99922888 518
1800 -1.9969768  0.99922931 518
1801 -1.9969785  0.99922973 518
1802 -1.9969802  0.99923016 518
1803 -1.9969763  0.9992291 522
1804 -1.996978  0.99922953 522
1805 -1.9969797  0.99922996 522
1806 -1.9969813  0.99923038 522
1807 -1.996983  0.99923081 522
1808 -1.9969847  0.99923124 522
1809 -1.9969863  0.99923166 522
1810 -1.996988  0.99923209 522
1811 -1.9969897  0.99923251 522
1812 -1.9969912  0.9992329 523
1813 -1.9969818  0.99923056 523
1814 -1.9969777  0.99922953 524
1815 -1.9969723  0.99922821 525
1816 -1.9969648  0.99922634 526
1817 -1.9969665  0.99922677 526
1818 -1.9969682  0.99922719 526
1819 -1.9969698  0.99922762 526
1820 -1.9969688  0.99922738 527
1821 -1.9969702  0.99922773 528
1822 -1.9969719  0.99922816 528
1823 -1.9969735  0.99922858 528
1824 -1.9969752  0.999229 528
1825 -1.9969722  0.99922826 530
1826 -1.9969739  0.99922868 530
1827 -1.9969755  0.99922911 530
1828 -1.9969772  0.99922953 530
1829 -1.9969788  0.99922995 530
1830 -1.9969805  0.99923037 530
1831 -1.9969821  0.99923079 530
1832 -1.9969838  0.99923121 530
1833 -1.9969854  0.99923163 530
1834 -1.9969871  0.99923205 530
1835 -1.9969887  0.99923247 530
1836 -1.9969903  0.99923288 530
1837 -1.996992  0.9992333 530
1838 -1.9969844  0.99923142 531
1839 -1.9969752  0.99922912 531
1840 -1.9969744  0.99922893 532
1841 -1.9969761  0.99922935 532
1842 -1.9969777  0.99922977 532
1843 -1.9969694  0.9992275 534
1844 -1.9969592  0.99922474 537
1845 -1.9969606  0.9992251 538
1846 -1.9969623  0.99922552 538
1847 -1.9969639  0.99922594 538
1848 -1.9969656  0.99922636 538
1849 -1.9969611  0.99922525 540
1850 -1.9969627  0.99922567 540
1851 -1.9969644  0.99922609 540
1852 -1.996966  0.99922651 540
1853 -1.9969677  0.99922692 540
1854 -1.9969693  0.99922734 540
1855 -1.9969709  0.99922776 540
1856 -1.9969726  0.99922817 540
1857 -1.9969742  0.99922859 540
1858 -1.9969758  0.999229 540
1859 -1.9969706  0.99922771 541
1860 -1.9969615  0.99922544 541
1861 -1.9969524  0.99922317 541
1862 -1.9969433  0.9992209 541
1863 -1.9969342  0.99921863 541
1864 -1.9969253  0.99921642 542
1865 -1.9969269  0.99921684 542
1866 -1.9969286  0.99921726 542
1867 -1.9969302  0.99921768 542
1868 -1.9969319  0.99921809 542
1869 -1.9969335  0.99921851 542
1870 -1.9969351  0.99921893 542
1871 -1.9969368  0.99921935 542
1872 -1.9969384  0.99921976 542
1873 -1.9969401  0.99922018 542
1874 -1.9969417  0.9992206 542
1875 -1.9969433  0.99922101 542
1876 -1.9969449  0.99922143 542
1877 -1.9969466  0.99922184 542
1878 -1.9969482  0.99922226 542
1879 -1.9969498  0.99922267 542
1880 -1.9969514  0.99922309 542
1881 -1.9969531  0.9992235 542
1882 -1.9969547  0.99922391 542
1883 -1.9969563  0.99922432 542
1884 -1.9969579  0.99922473 542
1885 -1.9969595  0.99922515 542
1886 -1.9969611  0.99922556 542
1887 -1.9969628  0.99922597 542
1888 -1.9969644  0.99922638 542
1889 -1.996966  0.99922679 542
1890 -1.9969676  0.9992272 542
1891 -1.9969692  0.9992276 542
1892 -1.9969708  0.99922801 542
1893 -1.9969724  0.99922842 542
1894 -1.996974  0.99922883 542
1895 -1.9969756  0.99922923 542
1896 -1.9969772  0.99922964 542
1897 -1.9969788  0.99923005 542
1898 -1.9969804  0.99923045 542
1899 -1.996982  0.99923086 542
1900 -1.9969835  0.99923126 542
1901 -1.9969851  0.99923167 542
1902 -1.9969867  0.99923207 542
1903 -1.9969883  0.99923248 542
1904 -1.9969899  0.99923288 542
1905 -1.9969915  0.99923328 542
1906 -1.996988  0.99923238 544
1907 -1.9969739  0.99922754 544
1908 -1.9969597  0.99922271 544
1909 -1.996955  0.99922127 546
1910 -1.9969566  0.99922168 546
1911 -1.9969559  0.99922153 548
1912 -1.9969575  0.99922193 548
1913 -1.9969591  0.99922234 548
1914 -1.9969607  0.99922275 548
1915 -1.9969623  0.99922315 548
1916 -1.9969639  0.99922356 548
1917 -1.9969654  0.99922396 548
1918 -1.996967  0.99922437 548
1919 -1.9969675  0.9992245 549
1920 -1.9969601  0.99922264 550
1921 -1.9969616  0.99922305 550
1922 -1.9969632  0.99922345 550
1923 -1.9969648  0.99922386 550
1924 -1.9969664  0.99922426 550
1925 -1.9969679  0.99922466 550
1926 -1.9969695  0.99922506 550
1927 -1.9969711  0.99922547 550
1928 -1.9969727  0.99922587 550
1929 -1.9969742  0.99922627 550
1930 -1.9969758  0.99922667 550
1931 -1.9969774  0.99922707 550
1932 -1.9969789  0.99922747 550
1933 -1.9969805  0.99922787 550
1934 -1.9969737  0.99922618 551
1935 -1.9969649  0.99922399 551
1936 -1.9969539  0.99922069 552
1937 -1.99694  0.99921593 552
1938 -1.9969364  0.99921487 554
1939 -1.996938  0.99921527 554
1940 -1.9969395  0.99921568 554
1941 -1.9969411  0.99921608 554
1942 -1.9969427  0.99921648 554
1943 -1.9969443  0.99921689 554
1944 -1.9969458  0.99921729 554
1945 -1.9969474  0.99921769 554
1946 -1.996949  0.99921809 554
1947 -1.9969505  0.9992185 554
1948 -1.9969521  0.9992189 554
1949 -1.9969537  0.9992193 554
1950 -1.9969552  0.9992197 554
1951 -1.9969568  0.9992201 554
1952 -1.9969584  0.9992205 554
1953 -1.9969599  0.9992209 554
1954 -1.9969615  0.9992213 554
1955 -1.996963  0.99922169 554
1956 -1.996956  0.99921995 555
1957 -1.9969553  0.99921979 556
1958 -1.9969569  0.99922019 556
1959 -1.9969584  0.99922059 556
1960 -1.99696  0.99922099 556
1961 -1.9969616  0.99922139 556
1962 -1.9969614  0.99922137 558
1963 -1.996963  0.99922177 558
1964 -1.9969645  0.99922216 558
1965 -1.9969661  0.99922256 558
1966 -1.9969676  0.99922295 558
1967 -1.9969692  0.99922335 558
1968 -1.9969707  0.99922374 558
1969 -1.9969722  0.99922414 558
1970 -1.9969738  0.99922453 558
1971 -1.9969753  0.99922492 558
1972 -1.9969769  0.99922532 558
1973 -1.9969784  0.99922571 558
1974 -1.9969799  0.9992261 558
1975 -1.9969814  0.99922649 558
1976 -1.996983  0.99922689 558
1977 -1.9969845  0.99922728 558
1978 -1.996986  0.99922767 558
1979 -1.9969873  0.99922799 559
1980 -1.9969884  0.99922827 560
1981 -1.9969899  0.99922866 560
1982 -1.9969914  0.99922905 560
1983 -1.9969871  0.99922798 561
1984 -1.9969823  0.99922678 562
1985 -1.9969838  0.99922717 562
1986 -1.9969853  0.99922756 562
1987 -1.9969868  0.99922795 562
1988 -1.9969883  0.99922834 562
1989 -1.9969898  0.99922873 562
1990 -1.9969914  0.99922911 562
1991 -1.9969929  0.9992295 562
1992 -1.9969944  0.99922989 562
1993 -1.9969955  0.99923017 564
1994 -1.9969945  0.99922993 566
1995 -1.996996  0.99923032 566
1996 -1.9969975  0.99923071 566
1997 -1.996999  0.99923109 566
1998 -1.9970005  0.99923148 566
1999 -1.9969964  0.99923047 567
2000 -1.996988  0.99922836 567
2001 -1.9969848  0.99922759 568
2002 -1.9969863  0.99922797 568
2003 -1.9969878  0.99922836 568
2004 -1.9969893  0.99922874 568
2005 -1.9969908  0.99922913 568
2006 -1.9969923  0.99922951 568
2007 -1.9969938  0.9992299 568
2008 -1.996989  0.99922869 571
2009 -1.9969892  0.99922876 572
2010 -1.9969863  0.99922805 573
2011 -1.9969797  0.9992264 574
2012 -1.9969812  0.99922678 574
2013 -1.9969827  0.99922717 574
2014 -1.9969842  0.99922755 574
2015 -1.9969857  0.99922793 574
2016 -1.9969872  0.99922832 574
2017 -1.9969887  0.9992287 574
2018 -1.9969902  0.99922908 574
2019 -1.9969917  0.99922946 574
2020 -1.9969921  0.99922959 576
2021 -1.9969936  0.99922997 576
2022 -1.9969951  0.99923035 576
2023 -1.9969966  0.99923073 576
2024 -1.9969979  0.99923107 578
2025 -1.9969994  0.99923145 578
2026 -1.9970009  0.99923183 578
2027 -1.9970024  0.99923221 578
2028 -1.9970038  0.99923259 578
2029 -1.9970053  0.99923297 578
2030 -1.9970068  0.99923334 578
2031 -1.9970038  0.9992326 580
2032 -1.9970053  0.99923298 580
2033 -1.9970067  0.99923336 580
2034 -1.9970082  0.99923373 580
2035 -1.9970097  0.99923411 580
2036 -1.9970111  0.99923449 580
2037 -1.9970126  0.99923486 580
2038 -1.9970127  0.99923489 582
2039 -1.9970141  0.99923526 582
2040 -1.9970133  0.99923506 583
2041 -1.997005  0.99923299 583
2042 -1.9970008  0.99923195 584
2043 -1.9970023  0.99923233 584
2044 -1.9970037  0.99923271 584
2045 -1.9970052  0.99923308 584
2046 -1.9970067  0.99923346 584
2047 -1.9970081  0.99923383 584
2048 -1.9969998  0.99923168 587
2049 -1.9969916  0.99922929 590
2050 -1.9969931  0.99922967 590
2051 -1.9969945  0.99923005 590
2052 -1.996996  0.99923042 590
2053 -1.9969975  0.9992308 590
2054 -1.9969989  0.99923117 590
2055 -1.9969991  0.99923123 592
2056 -1.9970006  0.99923161 592
2057 -1.9970021  0.99923198 592
2058 -1.9970035  0.99923236 592
2059 -1.997005  0.99923273 592
2060 -1.9970064  0.9992331 592
2061 -1.997007  0.99923325 593
2062 -1.9970067  0.9992332 594
2063 -1.9970082  0.99923357 594
2064 -1.9970096  0.99923394 594
2065 -1.9970111  0.99923431 594
2066 -1.9970125  0.99923468 594
2067 -1.997014  0.99923505 594
2068 -1.9970154  0.99923542 594
2069 -1.9970154  0.99923543 596
2070 -1.9970169  0.9992358 596
2071 -1.9970183  0.99923617 596
2072 -1.9970198  0.99923654 596
2073 -1.9970212  0.99923691 596
2074 -1.9970226  0.99923728 596
2075 -1.9970241  0.99923764 596
2076 -1.9970255  0.99923801 596
2077 -1.9970269  0.99923838 596
2078 -1.9970284  0.99923875 596
2079 -1.9970298  0.99923911 596
2080 -1.9970312  0.99923948 596
2081 -1.9970326  0.99923984 596
2082 -1.9970341  0.99924021 596
2083 -1.9970355  0.99924057 596
2084 -1.9970369  0.99924094 596
2085 -1.9970383  0.9992413 596
2086 -1.9970398  0.99924166 596
2087 -1.9970412  0.99924203 596
2088 -1.9970426  0.99924239 596
2089 -1.997044  0.99924275 596
2090 -1.9970454  0.99924312 596
2091 -1.9970468  0.99924348 596
2092 -1.9970482  0.99924384 596
2093 -1.9970497  0.9992442 596
2094 -1.9970511  0.99924456 596
2095 -1.9970525  0.99924492 596
2096 -1.9970513  0.99924464 598
2097 -1.9970527  0.999245 598
2098 -1.9970541  0.99924536 598
2099 -1.9970527  0.99924501 599
2100 -1.9970516  0.99924475 600
2101 -1.9970507  0.99924454 602
2102 -1.9970522  0.9992449 602
2103 -1.9970536  0.99924526 602
2104 -1.997055  0.99924562 602
2105 -1.9970564  0.99924598 602
2106 -1.9970578  0.99924634 602
2107 -1.9970591  0.9992467 602
2108 -1.9970605  0.99924705 602
2109 -1.9970619  0.99924741 602
2110 -1.9970633  0.99924777 602
2111 -1.9970647  0.99924812 602
2112 -1.9970631  0.99924772 603
2113 -1.9970565  0.9992461 604
2114 -1.9970579  0.99924645 604
2115 -1.9970593  0.99924681 604
2116 -1.9970599  0.99924696 606
2117 -1.9970613  0.99924731 606
2118 -1.9970627  0.99924767 606
2119 -1.9970641  0.99924802 606
2120 -1.9970654  0.99924838 606
2121 -1.9970668  0.99924873 606
2122 -1.9970682  0.99924909 606
2123 -1.9970644  0.99924815 608
2124 -1.9970658  0.99924851 608
2125 -1.9970672  0.99924886 608
2126 -1.9970671  0.99924885 610
2127 -1.9970685  0.99924921 610
2128 -1.9970699  0.99924956 610
2129 -1.9970713  0.99924991 610
2130 -1.9970726  0.99925026 610
2131 -1.9970723  0.99925019 612
2132 -1.9970737  0.99925054 612
2133 -1.997075  0.99925089 612
2134 -1.9970764  0.99925124 612
2135 -1.9970778  0.99925159 612
2136 -1.9970792  0.99925194 612
2137 -1.9970805  0.99925229 612
2138 -1.9970819  0.99925264 612
2139 -1.9970833  0.99925299 612
2140 -1.9970846  0.99925334 612
2141 -1.997086  0.99925369 612
2142 -1.9970873  0.99925404 612
2143 -1.9970887  0.99925439 612
2144 -1.9970901  0.99925473 612
2145 -1.9970914  0.99925508 612
2146 -1.9970928  0.99925543 612
2147 -1.9970941  0.99925578 612
2148 -1.9970955  0.99925612 612
2149 -1.9970968  0.99925647 612
2150 -1.9970852  0.99925358 616
2151 -1.9970744  0.99925088 617
2152 -1.9970695  0.99924965 618
2153 -1.9970688  0.99924951 619
2154 -1.9970585  0.99924693 621
2155 -1.9970575  0.99924669 622
2156 -1.9970532  0.99924563 623
2157 -1.9970541  0.99924584 624
2158 -1.9970554  0.99924619 624
2159 -1.9970568  0.99924654 624
2160 -1.9970582  0.99924689 624
2161 -1.9970595  0.99924724 624
2162 -1.9970609  0.99924759 624
2163 -1.9970622  0.99924794 624
2164 -1.9970636  0.99924828 624
2165 -1.997065  0.99924863 624
2166 -1.9970663  0.99924898 624
2167 -1.9970677  0.99924933 624
2168 -1.9970634  0.99924827 625
2169 -1.9970555  0.99924631 625
2170 -1.9970561  0.99924646 626
2171 -1.9970575  0.9992468 626
2172 -1.9970588  0.99924715 626
2173 -1.9970597  0.99924739 627
2174 -1.9970569  0.99924668 628
2175 -1.9970582  0.99924703 628
2176 -1.9970596  0.99924737 628
2177 -1.9970609  0.99924772 628
2178 -1.9970623  0.99924807 628
2179 -1.9970636  0.99924841 628
2180 -1.9970649  0.99924873 630
2181 -1.9970662  0.99924907 630
2182 -1.9970675  0.99924942 630
2183 -1.9970689  0.99924976 630
2184 -1.9970702  0.9992501 630
2185 -1.9970716  0.99925045 630
2186 -1.9970671  0.99924933 631
2187 -1.9970598  0.99924753 634
2188 -1.9970499  0.99924505 635
2189 -1.9970421  0.99924311 635
2190 -1.9970434  0.99924345 636
2191 -1.9970448  0.9992438 636
2192 -1.9970461  0.99924414 636
2193 -1.9970475  0.99924449 636
2194 -1.9970457  0.99924405 637
2195 -1.9970379  0.99924212 637
2196 -1.9970272  0.99923944 639
2197 -1.997026  0.99923916 640
2198 -1.9970274  0.9992395 640
2199 -1.9970287  0.99923985 640
2200 -1.9970301  0.99924019 640
2201 -1.9970314  0.99924054 640
2202 -1.9970328  0.99924088 640
2203 -1.9970336  0.9992411 641
2204 -1.9970259  0.99923917 641
2205 -1.9970237  0.99923863 643
2206 -1.9970244  0.99923881 644
2207 -1.9970257  0.99923916 644
2208 -1.9970271  0.9992395 644
2209 -1.9970284  0.99923985 644
2210 -1.9970298  0.99924019 644
2211 -1.9970311  0.99924054 644
2212 -1.9970324  0.99924088 644
2213 -1.9970338  0.99924122 644
2214 -1.9970351  0.99924157 644
2215 -1.9970365  0.99924191 644
2216 -1.9970378  0.99924225 644
2217 -1.9970391  0.99924259 644
2218 -1.9970405  0.99924293 644
2219 -1.9970418  0.99924327 644
2220 -1.9970431  0.99924361 644
2221 -1.9970445  0.99924396 644
2222 -1.9970458  0.9992443 644
2223 -1.9970471  0.99924464 644
2224 -1.9970485  0.99924498 644
2225 -1.9970498  0.99924531 644
2226 -1.9970511  0.99924565 644
2227 -1.9970524  0.99924599 644
2228 -1.9970538  0.99924633 644
2229 -1.9970551  0.99924667 644
2230 -1.9970564  0.99924701 644
2231 -1.9970577  0.99924734 644
2232 -1.997059  0.99924768 644
2233 -1.9970604  0.99924802 644
2234 -1.9970617  0.99924835 644
2235 -1.997063  0.99924869 644
2236 -1.9970609  0.99924817 645
2237 -1.9970533  0.99924627 645
2238 -1.9970456  0.99924438 645
2239 -1.9970434  0.99924383 646
2240 -1.9970447  0.99924416 646
2241 -1.997046  0.9992445 646
2242 -1.9970474  0.99924484 646
2243 -1.9970487  0.99924517 646
2244 -1.99705  0.99924551 646
2245 -1.9970513  0.99924585 646
2246 -1.9970526  0.99924618 646
2247 -1.9970539  0.99924652 646
2248 -1.9970552  0.99924685 646
2249 -1.9970565  0.99924719 646
2250 -1.9970579  0.99924752 646
2251 -1.9970592  0.99924786 646
2252 -1.9970556  0.99924696 647
2253 -1.9970539  0.99924657 648
2254 -1.9970552  0.9992469 648
2255 -1.9970566  0.99924723 648
2256 -1.9970579  0.99924757 648
2257 -1.9970528  0.99924632 649
2258 -1.9970377  0.99924226 653
2259 -1.9970313  0.99924066 654
2260 -1.9970326  0.999241 654
2261 -1.9970339  0.99924133 654
2262 -1.9970352  0.99924167 654
2263 -1.9970365  0.999242 654
2264 -1.9970378  0.99924234 654
2265 -1.9970391  0.99924267 654
2266 -1.9970404  0.99924301 654
2267 -1.9970418  0.99924334 654
2268 -1.9970431  0.99924367 654
2269 -1.9970444  0.99924401 654
2270 -1.9970457  0.99924434 654
2271 -1.997047  0.99924467 654
2272 -1.9970462  0.99924449 655
2273 -1.997045  0.9992442 656
2274 -1.9970463  0.99924454 656
2275 -1.9970466  0.99924461 658
2276 -1.9970479  0.99924494 658
2277 -1.9970492  0.99924527 658
2278 -1.9970505  0.9992456 658
2279 -1.9970518  0.99924594 658
2280 -1.9970531  0.99924627 658
2281 -1.9970544  0.9992466 658
2282 -1.9970557  0.99924693 658
2283 -1.9970569  0.99924726 658
2284 -1.9970582  0.99924759 658
2285 -1.9970595  0.99924792 658
2286 -1.9970608  0.99924824 658
2287 -1.9970621  0.99924857 658
2288 -1.9970634  0.9992489 658
2289 -1.9970647  0.99924923 658
2290 -1.9970659  0.99924956 658
2291 -1.9970672  0.99924989 658
2292 -1.9970685  0.99925021 658
2293 -1.9970647  0.99924926 659
2294 -1.9970572  0.99924741 659
2295 -1.9970498  0.99924556 659
2296 -1.9970424  0.99924371 659
2297 -1.9970399  0.99924311 660
2298 -1.9970412  0.99924343 660
2299 -1.9970425  0.99924376 660
2300 -1.9970366  0.99924217 662
2301 -1.9970374  0.99924238 664
2302 -1.9970387  0.99924271 664
2303 -1.99704  0.99924304 664
2304 -1.9970413  0.99924336 664
2305 -1.9970426  0.99924369 664
2306 -1.9970439  0.99924402 664
2307 -1.9970451  0.99924435 664
2308 -1.9970464  0.99924468 664
2309 -1.9970477  0.999245 664
2310 -1.997049  0.99924533 664
2311 -1.9970502  0.99924566 664
2312 -1.9970515  0.99924598 664
2313 -1.9970528  0.99924631 664
2314 -1.9970541  0.99924663 664
2315 -1.9970553  0.99924696 664
2316 -1.9970566  0.99924729 664
2317 -1.9970579  0.99924761 664
2318 -1.9970592  0.99924793 664
2319 -1.9970604  0.99924826 664
2320 -1.9970617  0.99924858 664
2321 -1.997063  0.99924891 664
2322 -1.9970642  0.99924923 664
2323 -1.9970655  0.99924955 664
2324 -1.9970667  0.99924988 664
2325 -1.997068  0.9992502 664
2326 -1.9970693  0.99925052 664
2327 -1.9970705  0.99925084 664
2328 -1.9970718  0.99925117 664
2329 -1.997073  0.99925149 664
2330 -1.9970743  0.99925181 664
2331 -1.9970756  0.99925213 664
2332 -1.9970768  0.99925245 664
2333 -1.9970766  0.99925241 665
2334 -1.9970706  0.9992509 666
2335 -1.9970718  0.99925122 666
2336 -1.9970656  0.99924968 667
2337 -1.9970583  0.99924786 667
2338 -1.9970587  0.99924797 668
2339 -1.99706  0.9992483 668
2340 -1.9970613  0.99924862 668
2341 -1.9970613  0.99924864 669
2342 -1.9970582  0.99924788 670
2343 -1.9970595  0.9992482 670
2344 -1.9970607  0.99924852 670
2345 -1.9970618  0.9992488 672
2346 -1.9970631  0.99924912 672
2347 -1.997057  0.9992476 673
2348 -1.9970498  0.9992458 675
2349 -1.9970425  0.999244 675
2350 -1.9970408  0.99924357 678
2351 -1.9970421  0.9992439 678
2352 -1.9970433  0.99924422 678
2353 -1.9970446  0.99924454 678
2354 -1.9970458  0.99924486 678
2355 -1.9970471  0.99924518 678
2356 -1.9970483  0.9992455 678
2357 -1.9970496  0.99924582 678
2358 -1.9970508  0.99924614 678
2359 -1.99705  0.99924589 680
2360 -1.9970418  0.9992436 681
2361 -1.9970372  0.99924247 682
2362 -1.9970385  0.99924279 682
2363 -1.9970397  0.99924311 682
2364 -1.997041  0.99924343 682
2365 -1.9970422  0.99924375 682
2366 -1.9970435  0.99924407 682
2367 -1.9970447  0.99924439 682
2368 -1.997046  0.99924471 682
2369 -1.9970472  0.99924503 682
2370 -1.9970485  0.99924535 682
2371 -1.9970497  0.99924567 682
2372 -1.9970509  0.99924598 682
2373 -1.9970522  0.9992463 682
2374 -1.9970534  0.99924662 682
2375 -1.9970547  0.99924694 682
2376 -1.9970517  0.99924619 683
2377 -1.9970485  0.99924542 684
2378 -1.9970475  0.99924515 686
2379 -1.9970487  0.99924547 686
2380 -1.997045  0.99924455 687
2381 -1.9970378  0.99924277 687
2382 -1.9970307  0.99924098 687
2383 -1.9970287  0.99924049 688
2384 -1.9970299  0.99924081 688
2385 -1.9970312  0.99924113 688
2386 -1.9970324  0.99924144 688
2387 -1.9970336  0.99924176 688
2388 -1.9970349  0.99924208 688
2389 -1.9970361  0.9992424 688
2390 -1.9970374  0.99924271 688
2391 -1.9970386  0.99924303 688
2392 -1.9970398  0.99924335 688
2393 -1.9970411  0.99924366 688
2394 -1.9970417  0.99924382 690
2395 -1.9970429  0.99924414 690
2396 -1.9970442  0.99924445 690
2397 -1.9970454  0.99924477 690
2398 -1.9970466  0.99924508 690
2399 -1.9970479  0.9992454 690
2400 -1.9970491  0.99924571 690
2401 -1.9970503  0.99924603 690
2402 -1.9970515  0.99924634 690
2403 -1.9970528  0.99924666 690
2404 -1.9970476  0.99924538 691
2405 -1.9970468  0.99924518 692
2406 -1.997045  0.99924473 694
2407 -1.9970462  0.99924505 694
2408 -1.9970474  0.99924536 694
2409 -1.9970487  0.99924567 694
2410 -1.9970499  0.99924599 694
2411 -1.9970511  0.9992463 694
2412 -1.9970523  0.99924661 694
2413 -1.9970536  0.99924692 694
2414 -1.9970548  0.99924723 694
2415 -1.997056  0.99924755 694
2416 -1.9970572  0.99924786 694
2417 -1.9970584  0.99924817 694
2418 -1.9970597  0.99924848 694
2419 -1.9970609  0.99924879 694
2420 -1.9970621  0.9992491 694
2421 -1.9970633  0.99924941 694
2422 -1.9970645  0.99924972 694
2423 -1.9970657  0.99925003 694
2424 -1.9970669  0.99925034 694
2425 -1.9970681  0.99925065 694
2426 -1.9970694  0.99925096 694
2427 -1.9970706  0.99925127 694
2428 -1.9970718  0.99925158 694
2429 -1.997073  0.99925188 694
2430 -1.9970742  0.99925219 694
2431 -1.9970754  0.9992525 694
2432 -1.9970766  0.99925281 694
2433 -1.9970778  0.99925311 694
2434 -1.997079  0.99925342 694
2435 -1.9970802  0.99925373 694
2436 -1.9970799  0.99925367 695
2437 -1.9970763  0.99925277 696
2438 -1.9970775  0.99925308 696
2439 -1.9970787  0.99925339 696
2440 -1.9970767  0.9992529 697
2441 -1.9970697  0.99925116 697
2442 -1.9970628  0.99924942 697
2443 -1.9970558  0.99924768 697
2444 -1.9970515  0.99924661 698
2445 -1.9970474  0.9992456 699
2446 -1.9970413  0.99924408 700
2447 -1.9970425  0.99924439 700
2448 -1.9970437  0.99924469 700
2449 -1.9970433  0.99924461 701
2450 -1.9970367  0.99924295 702
2451 -1.9970379  0.99924326 702
2452 -1.9970391  0.99924357 702
2453 -1.9970403  0.99924388 702
2454 -1.9970415  0.99924419 702
2455 -1.9970388  0.99924351 703
2456 -1.9970344  0.99924243 704
2457 -1.9970343  0.9992424 706
2458 -1.9970355  0.99924271 706
2459 -1.9970353  0.99924265 707
2460 -1.9970364  0.99924294 708
2461 -1.9970376  0.99924325 708
2462 -1.9970314  0.9992417 709
2463 -1.9970256  0.99924026 710
2464 -1.9970268  0.99924056 710
2465 -1.997028  0.99924087 710
2466 -1.9970283  0.99924096 711
2467 -1.9970246  0.99924003 712
2468 -1.9970258  0.99924034 712
2469 -1.997027  0.99924065 712
2470 -1.9970282  0.99924096 712
2471 -1.9970294  0.99924126 712
2472 -1.9970306  0.99924157 712
2473 -1.9970261  0.99924046 713
2474 -1.9970261  0.99924046 714
2475 -1.9970273  0.99924076 714
2476 -1.9970285  0.99924107 714
2477 -1.9970297  0.99924138 714
2478 -1.9970309  0.99924168 714
2479 -1.9970321  0.99924199 714
2480 -1.9970333  0.99924229 714
2481 -1.9970345  0.9992426 714
2482 -1.9970357  0.9992429 714
2483 -1.9970346  0.99924264 716
2484 -1.9970332  0.99924231 717
2485 -1.9970329  0.99924223 718
2486 -1.9970341  0.99924254 718
2487 -1.9970353  0.99924284 718
2488 -1.9970365  0.99924315 718
2489 -1.9970377  0.99924345 718
2490 -1.9970389  0.99924376 718
2491 -1.99704  0.99924406 718
2492 -1.9970412  0.99924436 718
2493 -1.9970424  0.99924467 718
2494 -1.9970436  0.99924497 718
2495 -1.9970448  0.99924527 718
2496 -1.997046  0.99924557 718
2497 -1.9970472  0.99924588 718
2498 -1.9970409  0.99924432 721
2499 -1.997034  0.99924257 723
