1 -0.4687  0.0970875 212
181 -1.9187434  0.91026084 1525
182 -1.9191898  0.91075391 1525
183 -1.9196314  0.9112416 1525
184 -1.9200682  0.91172398 1525
185 -1.9204222  0.91218162 1527
186 -1.920645  0.91258978 1529
187 -1.920952  0.91302306 1533
188 -1.9213722  0.91348564 1534
189 -1.9216824  0.91391693 1534
190 -1.9220817  0.91436678 1535
191 -1.9224897  0.91481512 1535
192 -1.9228934  0.91525879 1535
193 -1.9232929  0.91569786 1535
194 -1.9236883  0.91613241 1535
195 -1.9240796  0.9165625 1535
196 -1.924467  0.9169882 1535
197 -1.9248293  0.91740431 1536
198 -1.9251971  0.9178185 1537
199 -1.925573  0.91823147 1537
200 -1.9259451  0.91864031 1537
201 -1.9262725  0.91903483 1538
202 -1.9265937  0.91942469 1539
203 -1.9269553  0.91982161 1539
204 -1.9273134  0.92021464 1539
205 -1.9276679  0.92060384 1539
206 -1.9280191  0.92098926 1539
207 -1.9283668  0.92137095 1539
208 -1.9287112  0.92174898 1539
209 -1.9290523  0.92212339 1539
210 -1.9293901  0.92249423 1539
211 -1.9297248  0.92286155 1539
212 -1.9300563  0.92322541 1539
213 -1.9303846  0.92358586 1539
214 -1.9307099  0.92394293 1539
215 -1.9310322  0.92429669 1539
216 -1.9313515  0.92464716 1539
217 -1.9316679  0.92499441 1539
218 -1.9319813  0.92533847 1539
219 -1.9322919  0.92567939 1539
220 -1.9325997  0.92601722 1539
221 -1.9329046  0.92635198 1539
222 -1.9332069  0.92668373 1539
223 -1.9335064  0.9270125 1539
224 -1.9338032  0.92733834 1539
225 -1.9340974  0.92766128 1539
226 -1.934389  0.92798136 1539
227 -1.9346547  0.92829279 1540
228 -1.9348536  0.92858536 1540
229 -1.9350508  0.92887538 1540
230 -1.935214  0.92915484 1542
231 -1.9354107  0.92944058 1543
232 -1.9356891  0.92974472 1543
233 -1.9359651  0.93004624 1543
234 -1.9362388  0.93034519 1543
235 -1.9365101  0.9306416 1543
236 -1.9367016  0.9309161 1544
237 -1.9369651  0.9312067 1545
238 -1.9372299  0.93149575 1545
239 -1.9374838  0.93178018 1546
240 -1.9377368  0.93206255 1547
241 -1.9379951  0.93234445 1547
242 -1.9382513  0.93262402 1547
243 -1.9385055  0.93290129 1547
244 -1.9387575  0.93317628 1547
245 -1.9390074  0.93344903 1547
246 -1.9392485  0.93371784 1548
247 -1.9394333  0.9339709 1549
248 -1.9396775  0.93423715 1549
249 -1.9399035  0.93449719 1551
250 -1.9401439  0.9347592 1551
251 -1.9403824  0.93501912 1551
252 -1.9406189  0.93527698 1551
253 -1.9408537  0.93553281 1551
254 -1.9410865  0.93578661 1551
255 -1.9413175  0.93603843 1551
256 -1.9415448  0.93628779 1553
257 -1.9417723  0.9365357 1553
258 -1.941998  0.93678169 1553
259 -1.9422219  0.93702577 1553
260 -1.9424441  0.93726798 1553
261 -1.9426647  0.93750833 1553
262 -1.9428835  0.93774685 1553
263 -1.9431007  0.93798356 1553
264 -1.9433162  0.93821847 1553
265 -1.9435301  0.9384516 1553
266 -1.9437341  0.93868092 1554
267 -1.943928  0.93890637 1555
268 -1.9441372  0.93913433 1555
269 -1.9443449  0.93936059 1555
270 -1.9445186  0.93957708 1556
271 -1.9447233  0.93980005 1557
272 -1.9449216  0.94002013 1559
273 -1.9451234  0.94023984 1559
274 -1.9453236  0.94045794 1559
275 -1.9455225  0.94067445 1559
276 -1.9457198  0.9408894 1559
277 -1.9459158  0.9411028 1559
278 -1.9461103  0.94131466 1559
279 -1.9463035  0.941525 1559
280 -1.9464953  0.94173384 1559
281 -1.9466857  0.94194119 1559
282 -1.9468747  0.94214707 1559
283 -1.9470519  0.94234885 1560
284 -1.9471679  0.94253424 1560
285 -1.9473076  0.94272447 1561
286 -1.9474919  0.94292474 1561
287 -1.9476748  0.94312361 1561
288 -1.9478565  0.94332109 1561
289 -1.9480369  0.94351721 1561
290 -1.9482161  0.94371198 1561
291 -1.9483941  0.94390541 1561
292 -1.9485708  0.94409752 1561
293 -1.9487463  0.94428831 1561
294 -1.9489164  0.94447674 1563
295 -1.9490896  0.94466496 1563
296 -1.9491967  0.94483568 1564
297 -1.9493004  0.94500459 1564
298 -1.9494501  0.94518402 1565
299 -1.9496191  0.94536735 1565
300 -1.9497871  0.94554946 1565
301 -1.9499539  0.94573036 1565
302 -1.9500524  0.94588974 1568
303 -1.9502017  0.94606444 1569
304 -1.9503655  0.94624186 1569
305 -1.9505283  0.94641811 1569
306 -1.9506818  0.94659118 1570
307 -1.9508283  0.9467616 1571
308 -1.9509879  0.94693446 1571
309 -1.951141  0.94710481 1573
310 -1.9512986  0.94727544 1573
311 -1.9514552  0.94744498 1573
312 -1.9516108  0.94761342 1573
313 -1.9517654  0.94778079 1573
314 -1.951919  0.94794709 1573
315 -1.9520717  0.94811234 1573
316 -1.9522233  0.94827654 1573
317 -1.9523741  0.94843971 1573
318 -1.9524677  0.94858781 1574
319 -1.9525509  0.94873178 1575
320 -1.9526809  0.9488868 1577
321 -1.9528283  0.94904603 1577
322 -1.9529748  0.94920427 1577
323 -1.9531204  0.94936153 1577
324 -1.9532651  0.94951782 1577
325 -1.9534089  0.94967315 1577
326 -1.9535084  0.94981668 1578
327 -1.9536304  0.9499651 1579
328 -1.9537718  0.95011764 1579
329 -1.9539123  0.95026926 1579
330 -1.9540474  0.95041883 1581
331 -1.9541863  0.95056862 1581
332 -1.9543242  0.95071751 1581
333 -1.9544614  0.9508655 1581
334 -1.9545978  0.95101261 1581
335 -1.9547333  0.95115884 1581
336 -1.954868  0.9513042 1581
337 -1.9550019  0.9514487 1581
338 -1.9551351  0.95159234 1581
339 -1.9552674  0.95173514 1581
340 -1.955399  0.9518771 1581
341 -1.9555298  0.95201822 1581
342 -1.9556598  0.95215852 1581
343 -1.9557891  0.952298 1581
344 -1.9559176  0.95243666 1581
345 -1.9560454  0.95257453 1581
346 -1.9561724  0.9527116 1581
347 -1.9562987  0.95284787 1581
348 -1.9564103  0.95297989 1583
349 -1.9565352  0.95311461 1583
350 -1.9566594  0.95324857 1583
351 -1.9567829  0.95338177 1583
352 -1.9569057  0.9535142 1583
353 -1.9570278  0.95364589 1583
354 -1.9571492  0.95377684 1583
355 -1.9572699  0.95390704 1583
356 -1.9573899  0.95403652 1583
357 -1.9575092  0.95416527 1583
358 -1.9576173  0.95429064 1584
359 -1.9577174  0.95441347 1585
360 -1.9578349  0.9545401 1585
361 -1.9579517  0.95466603 1585
362 -1.9580678  0.95479126 1585
363 -1.9581833  0.95491581 1585
364 -1.9582982  0.95503966 1585
365 -1.9584125  0.95516284 1585
366 -1.9585261  0.95528535 1585
367 -1.9586391  0.95540719 1585
368 -1.9587515  0.95552836 1585
369 -1.9588633  0.95564888 1585
370 -1.9589745  0.95576875 1585
371 -1.959085  0.95588797 1585
372 -1.959195  0.95600655 1585
373 -1.9593044  0.9561245 1585
374 -1.9594132  0.95624181 1585
375 -1.9595215  0.9563585 1585
376 -1.9596291  0.95647457 1585
377 -1.9597362  0.95659002 1585
378 -1.9598427  0.95670486 1585
379 -1.9599487  0.9568191 1585
380 -1.9600541  0.95693273 1585
381 -1.9601589  0.95704577 1585
382 -1.9602632  0.95715821 1585
383 -1.960367  0.95727007 1585
384 -1.9604702  0.95738135 1585
385 -1.9605729  0.95749205 1585
386 -1.960675  0.95760217 1585
387 -1.9607766  0.95771172 1585
388 -1.9608777  0.95782072 1585
389 -1.9609783  0.95792915 1585
390 -1.9610783  0.95803702 1585
391 -1.9611779  0.95814434 1585
392 -1.9612769  0.95825112 1585
393 -1.9613754  0.95835735 1585
394 -1.9614735  0.95846304 1585
395 -1.961571  0.9585682 1585
396 -1.9616681  0.95867282 1585
397 -1.9617646  0.95877692 1585
398 -1.9618607  0.9588805 1585
399 -1.9619563  0.95898355 1585
400 -1.9620514  0.95908609 1585
401 -1.962146  0.95918812 1585
402 -1.9622402  0.95928965 1585
403 -1.9623339  0.95939066 1585
404 -1.9624271  0.95949118 1585
405 -1.9625199  0.9595912 1585
406 -1.9626122  0.95969073 1585
407 -1.9627041  0.95978977 1585
408 -1.9627955  0.95988833 1585
409 -1.9628864  0.9599864 1585
410 -1.962977  0.96008399 1585
411 -1.963067  0.96018111 1585
412 -1.9631567  0.96027776 1585
413 -1.9632459  0.96037394 1585
414 -1.9633347  0.96046966 1585
415 -1.963423  0.96056491 1585
416 -1.9635109  0.96065971 1585
417 -1.9635956  0.96075333 1586
418 -1.9636201  0.96083158 1588
419 -1.963658  0.96091283 1590
420 -1.9637333  0.9610031 1591
421 -1.9638152  0.96109466 1592
422 -1.9638987  0.96118629 1593
423 -1.9639593  0.96127187 1594
424 -1.9640226  0.96135778 1595
425 -1.9641073  0.96144871 1595
426 -1.9641915  0.9615392 1595
427 -1.9642754  0.96162927 1595
428 -1.9643589  0.96171893 1595
429 -1.964442  0.96180816 1595
430 -1.9645247  0.96189698 1595
431 -1.964607  0.96198538 1595
432 -1.9646889  0.96207338 1595
433 -1.9647704  0.96216097 1595
434 -1.9648516  0.96224816 1595
435 -1.9649324  0.96233494 1595
436 -1.9650128  0.96242133 1595
437 -1.9650929  0.96250732 1595
438 -1.9651726  0.96259292 1595
439 -1.9652519  0.96267813 1595
440 -1.9653309  0.96276295 1595
441 -1.9654095  0.96284739 1595
442 -1.9654878  0.96293145 1595
443 -1.9655599  0.96301369 1597
444 -1.9656375  0.96309699 1597
445 -1.9657104  0.96317885 1599
446 -1.9657873  0.96326141 1599
447 -1.9658639  0.9633436 1599
448 -1.9659401  0.96342542 1599
449 -1.9660159  0.96350688 1599
450 -1.9660914  0.96358797 1599
451 -1.9661666  0.96366871 1599
452 -1.9662415  0.96374909 1599
453 -1.966316  0.96382911 1599
454 -1.9663902  0.96390878 1599
455 -1.9664418  0.96398253 1600
456 -1.9664715  0.96405055 1600
457 -1.9665011  0.96411827 1600
458 -1.9665349  0.96418679 1601
459 -1.9666078  0.96426481 1601
460 -1.9666804  0.9643425 1601
461 -1.9667527  0.96441985 1601
462 -1.9668247  0.96449686 1601
463 -1.9668963  0.96457354 1601
464 -1.9669298  0.96464044 1604
465 -1.966958  0.96470573 1604
466 -1.9669799  0.96476773 1606
467 -1.967016  0.9648345 1607
468 -1.9670864  0.96490964 1607
469 -1.9671566  0.96498446 1607
470 -1.9672265  0.96505896 1607
471 -1.9672961  0.96513315 1607
472 -1.9673654  0.96520702 1607
473 -1.9674166  0.96527614 1608
474 -1.9674569  0.96534227 1609
475 -1.9675254  0.96541524 1609
476 -1.9675936  0.96548789 1609
477 -1.9676615  0.96556025 1609
478 -1.9677292  0.9656323 1609
479 -1.9677716  0.96569781 1611
480 -1.9678388  0.96576927 1611
481 -1.9679056  0.96584044 1611
482 -1.9679722  0.96591131 1611
483 -1.9680385  0.96598188 1611
484 -1.9681045  0.96605217 1611
485 -1.9681703  0.96612216 1611
486 -1.9682358  0.96619187 1611
487 -1.968301  0.96626129 1611
488 -1.968366  0.96633043 1611
489 -1.9684307  0.96639928 1611
490 -1.9684951  0.96646786 1611
491 -1.9685593  0.96653615 1611
492 -1.9686232  0.96660417 1611
493 -1.9686868  0.96667191 1611
494 -1.9687502  0.96673937 1611
495 -1.9688133  0.96680657 1611
496 -1.9688762  0.96687349 1611
497 -1.9689388  0.96694014 1611
498 -1.9690012  0.96700653 1611
499 -1.9690633  0.96707265 1611
500 -1.9691252  0.9671385 1611
501 -1.9691868  0.96720409 1611
502 -1.9692482  0.96726942 1611
503 -1.9693093  0.96733449 1611
504 -1.9693702  0.96739931 1611
505 -1.9694309  0.96746386 1611
506 -1.9694913  0.96752816 1611
507 -1.9695515  0.96759221 1611
508 -1.9696114  0.967656 1611
509 -1.9696711  0.96771955 1611
510 -1.9697286  0.96778235 1613
511 -1.9697879  0.9678454 1613
512 -1.9698469  0.9679082 1613
513 -1.9699057  0.96797076 1613
514 -1.9699642  0.96803307 1613
515 -1.9700225  0.96809515 1613
516 -1.9700806  0.96815698 1613
517 -1.9701054  0.9682103 1615
518 -1.9701631  0.96827167 1615
519 -1.9702206  0.9683328 1615
520 -1.9702779  0.9683937 1615
521 -1.9703349  0.96845437 1615
522 -1.9703918  0.9685148 1615
523 -1.9704484  0.968575 1615
524 -1.9705048  0.96863497 1615
525 -1.970561  0.96869471 1615
526 -1.9706169  0.96875423 1615
527 -1.9706727  0.96881352 1615
528 -1.9707282  0.96887259 1615
529 -1.9707836  0.96893143 1615
530 -1.9708387  0.96899005 1615
531 -1.9708936  0.96904845 1615
532 -1.9709483  0.96910663 1615
533 -1.9710028  0.96916459 1615
534 -1.9710571  0.96922233 1615
535 -1.9710706  0.96926734 1617
536 -1.9711206  0.96932358 1619
537 -1.9711743  0.9693807 1619
538 -1.9712279  0.96943762 1619
539 -1.9712813  0.96949432 1619
540 -1.9713345  0.96955081 1619
541 -1.9713875  0.96960709 1619
542 -1.9714403  0.96966317 1619
543 -1.9714842  0.96971687 1620
544 -1.9715356  0.96977229 1621
545 -1.9715878  0.96982775 1621
546 -1.9716399  0.96988301 1621
547 -1.9716917  0.96993807 1621
548 -1.9717434  0.96999293 1621
549 -1.9717916  0.97004677 1622
550 -1.9718329  0.97009873 1623
551 -1.971884  0.97015299 1623
552 -1.9719349  0.97020707 1623
553 -1.9719857  0.97026094 1623
554 -1.9720362  0.97031462 1623
555 -1.9720866  0.97036811 1623
556 -1.9721368  0.9704214 1623
557 -1.9721868  0.97047451 1623
558 -1.9722367  0.97052742 1623
559 -1.9722864  0.97058014 1623
560 -1.9723358  0.97063268 1623
561 -1.9723852  0.97068503 1623
562 -1.9724343  0.97073719 1623
563 -1.9724833  0.97078917 1623
564 -1.972532  0.97084096 1623
565 -1.9725636  0.97088808 1625
566 -1.9725832  0.97093156 1627
567 -1.9726315  0.97098283 1627
568 -1.9726797  0.97103391 1627
569 -1.9727277  0.97108482 1627
570 -1.9727756  0.97113555 1627
571 -1.9728232  0.9711861 1627
572 -1.9728708  0.97123647 1627
573 -1.9729181  0.97128667 1627
574 -1.9729653  0.97133669 1627
575 -1.9730123  0.97138654 1627
576 -1.9730392  0.97143123 1629
577 -1.9730735  0.97147764 1630
578 -1.9730961  0.97152098 1631
579 -1.9731425  0.97157016 1631
580 -1.9731888  0.97161918 1631
581 -1.973235  0.97166803 1631
582 -1.973281  0.97171671 1631
583 -1.9733268  0.97176522 1631
584 -1.9733725  0.97181357 1631
585 -1.973418  0.97186175 1631
586 -1.9734634  0.97190977 1631
587 -1.9735086  0.97195762 1631
588 -1.973538  0.9720014 1632
589 -1.9735489  0.97204045 1632
590 -1.9735599  0.97207936 1632
591 -1.9735802  0.97212049 1633
592 -1.9736248  0.97216759 1633
593 -1.9736693  0.97221452 1633
594 -1.9737136  0.9722613 1633
595 -1.9737487  0.97230565 1634
596 -1.9737667  0.97234562 1635
597 -1.9738107  0.97239194 1635
598 -1.973822  0.97243 1636
599 -1.97385  0.9724721 1637
600 -1.9738936  0.97251798 1637
601 -1.9739371  0.97256371 1637
602 -1.9739804  0.97260928 1637
603 -1.9740235  0.97265471 1637
604 -1.9740665  0.97269998 1637
605 -1.9741094  0.9727451 1637
606 -1.9741521  0.97279008 1637
607 -1.9741947  0.97283491 1637
608 -1.9742371  0.97287958 1637
609 -1.9742794  0.97292412 1637
610 -1.9743216  0.9729685 1637
611 -1.9743636  0.97301275 1637
612 -1.9744055  0.97305684 1637
613 -1.9744473  0.9731008 1637
614 -1.9744889  0.97314461 1637
615 -1.9745304  0.97318827 1637
616 -1.9745717  0.9732318 1637
617 -1.9746129  0.97327518 1637
618 -1.974654  0.97331843 1637
619 -1.974695  0.97336153 1637
620 -1.9747358  0.9734045 1637
621 -1.9747764  0.97344732 1637
622 -1.974817  0.97349001 1637
623 -1.9748574  0.97353256 1637
624 -1.9748977  0.97357498 1637
625 -1.9749379  0.97361726 1637
626 -1.9749779  0.9736594 1637
627 -1.9750178  0.97370142 1637
628 -1.9750576  0.97374329 1637
629 -1.9750973  0.97378504 1637
630 -1.9751368  0.97382665 1637
631 -1.9751762  0.97386813 1637
632 -1.9752155  0.97390947 1637
633 -1.9752546  0.97395069 1637
634 -1.9752937  0.97399178 1637
635 -1.9753326  0.97403274 1637
636 -1.9753705  0.97407335 1639
637 -1.9754091  0.97411405 1639
638 -1.9754477  0.97415462 1639
639 -1.9754861  0.97419507 1639
640 -1.9755244  0.97423539 1639
641 -1.9755626  0.97427559 1639
642 -1.9756007  0.97431565 1639
643 -1.9756178  0.97435039 1641
644 -1.9756556  0.97439022 1641
645 -1.9756934  0.97442992 1641
646 -1.975731  0.9744695 1641
647 -1.9757685  0.97450896 1641
648 -1.9757956  0.97454574 1642
649 -1.9758244  0.97458282 1643
650 -1.9758616  0.97462192 1643
651 -1.9758987  0.97466091 1643
652 -1.9759356  0.97469977 1643
653 -1.9759725  0.97473851 1643
654 -1.9760092  0.97477714 1643
655 -1.9760458  0.97481565 1643
656 -1.9760824  0.97485404 1643
657 -1.9761188  0.97489231 1643
658 -1.9761551  0.97493047 1643
659 -1.9761912  0.97496851 1643
660 -1.9762273  0.97500644 1643
661 -1.9762633  0.97504425 1643
662 -1.9762991  0.97508195 1643
663 -1.9763349  0.97511953 1643
664 -1.9763705  0.975157 1643
665 -1.9763939  0.97519132 1644
666 -1.9764292  0.97522855 1645
667 -1.9764646  0.97526569 1645
668 -1.9764998  0.97530271 1645
669 -1.9765349  0.97533963 1645
670 -1.97657  0.97537644 1645
671 -1.9766049  0.97541313 1645
672 -1.9766397  0.97544972 1645
673 -1.9766744  0.9754862 1645
674 -1.976709  0.97552257 1645
675 -1.9767405  0.97555807 1646
676 -1.9767453  0.97558683 1646
677 -1.9767469  0.9756147 1648
678 -1.9767675  0.97564725 1649
679 -1.9768017  0.97568312 1649
680 -1.9768317  0.97571783 1650
681 -1.9768568  0.97575127 1651
682 -1.9768907  0.97578682 1651
