1 -0.4687  0.0970875 212
7684 -1.995297  0.99717765 3697
7685 -1.9952976  0.99717802 3697
7686 -1.9952982  0.99717839 3697
7687 -1.9952988  0.99717876 3697
7688 -1.995299  0.99717901 3698
7689 -1.9952992  0.99717928 3699
7690 -1.9952998  0.99717965 3699
7691 -1.9953004  0.99718002 3699
7692 -1.995301  0.99718038 3699
7693 -1.9953016  0.99718075 3699
7694 -1.9953023  0.99718112 3699
7695 -1.9953029  0.99718148 3699
7696 -1.9953035  0.99718185 3699
7697 -1.9953041  0.99718221 3699
7698 -1.9953041  0.99718243 3700
7699 -1.9953044  0.99718273 3701
7700 -1.995305  0.99718309 3701
7701 -1.9953056  0.99718346 3701
7702 -1.9953063  0.99718382 3701
7703 -1.9953069  0.99718419 3701
7704 -1.9953075  0.99718456 3701
7705 -1.9953081  0.99718492 3701
7706 -1.9953087  0.99718529 3701
7707 -1.9953093  0.99718565 3701
7708 -1.9953099  0.99718602 3701
7709 -1.9953099  0.99718623 3702
7710 -1.9953079  0.99718595 3702
7711 -1.9953079  0.99718616 3703
7712 -1.9953074  0.99718623 3705
7713 -1.995308  0.9971866 3705
7714 -1.9953086  0.99718696 3705
7715 -1.9953092  0.99718733 3705
7716 -1.9953098  0.99718769 3705
7717 -1.9953104  0.99718806 3705
7718 -1.9953102  0.99718822 3707
7719 -1.9953108  0.99718858 3707
7720 -1.9953114  0.99718895 3707
7721 -1.995312  0.99718931 3707
7722 -1.9953126  0.99718968 3707
7723 -1.9953133  0.99719004 3707
7724 -1.9953139  0.9971904 3707
7725 -1.9953145  0.99719077 3707
7726 -1.9953148  0.99719105 3709
7727 -1.9953131  0.99719081 3711
7728 -1.9953137  0.99719118 3711
7729 -1.995314  0.99719148 3713
7730 -1.9953146  0.99719184 3713
7731 -1.9953152  0.9971922 3713
7732 -1.9953159  0.99719256 3713
7733 -1.9953165  0.99719293 3713
7734 -1.9953171  0.99719329 3713
7735 -1.9953159  0.99719322 3715
7736 -1.9953165  0.99719358 3715
7737 -1.9953171  0.99719394 3715
7738 -1.9953177  0.9971943 3715
7739 -1.9953183  0.99719467 3715
7740 -1.9953189  0.99719503 3715
7741 -1.9953195  0.99719539 3715
7742 -1.9953202  0.99719575 3715
7743 -1.9953189  0.99719565 3716
7744 -1.995318  0.99719563 3717
7745 -1.9953168  0.99719556 3718
7746 -1.9953152  0.99719537 3719
7747 -1.995315  0.99719553 3720
7748 -1.9953131  0.99719525 3720
7749 -1.9953111  0.99719496 3720
7750 -1.9953083  0.99719426 3722
7751 -1.995308  0.99719441 3723
7752 -1.9953086  0.99719478 3723
7753 -1.9953093  0.99719514 3723
7754 -1.9953099  0.9971955 3723
7755 -1.9953105  0.99719586 3723
7756 -1.9953111  0.99719622 3723
7757 -1.9953117  0.99719658 3723
7758 -1.9953123  0.99719695 3723
7759 -1.9953125  0.99719721 3724
7760 -1.9953105  0.99719693 3724
7761 -1.9953085  0.99719664 3724
7762 -1.9953091  0.99719698 3725
7763 -1.9953097  0.99719734 3725
7764 -1.9953103  0.99719771 3725
7765 -1.9953109  0.99719807 3725
7766 -1.9953102  0.9971981 3726
7767 -1.9953082  0.99719781 3726
7768 -1.9953062  0.99719753 3726
7769 -1.9953026  0.99719683 3728
7770 -1.9953024  0.99719699 3729
7771 -1.995303  0.99719735 3729
7772 -1.9953036  0.99719771 3729
7773 -1.9953042  0.99719807 3729
7774 -1.9953048  0.99719843 3729
7775 -1.9953054  0.99719879 3729
7776 -1.995306  0.99719915 3729
7777 -1.9953066  0.99719951 3729
7778 -1.9953072  0.99719987 3729
7779 -1.9953078  0.99720023 3729
7780 -1.9953084  0.99720059 3729
7781 -1.995309  0.99720095 3729
7782 -1.9953096  0.99720131 3729
7783 -1.9953102  0.99720167 3729
7784 -1.9953108  0.99720203 3729
7785 -1.9953114  0.99720239 3729
7786 -1.995312  0.99720275 3729
7787 -1.9953126  0.99720311 3729
7788 -1.9953132  0.99720347 3729
7789 -1.9953138  0.99720382 3729
7790 -1.9953144  0.99720418 3729
7791 -1.995315  0.99720454 3729
7792 -1.9953156  0.9972049 3729
7793 -1.9953162  0.99720526 3729
7794 -1.9953168  0.99720562 3729
7795 -1.9953174  0.99720598 3729
7796 -1.995318  0.99720633 3729
7797 -1.9953186  0.99720669 3729
7798 -1.9953192  0.99720705 3729
7799 -1.9953198  0.99720741 3729
7800 -1.9953204  0.99720777 3729
7801 -1.995321  0.99720813 3729
7802 -1.9953216  0.99720848 3729
7803 -1.9953219  0.99720875 3731
7804 -1.9953225  0.99720911 3731
7805 -1.9953231  0.99720946 3731
7806 -1.9953237  0.99720982 3731
7807 -1.9953243  0.99721018 3731
7808 -1.9953229  0.99721006 3732
7809 -1.9953202  0.99720957 3733
7810 -1.9953175  0.99720909 3736
7811 -1.9953156  0.99720881 3736
7812 -1.9953123  0.9972082 3737
7813 -1.9953098  0.99720779 3740
7814 -1.9953079  0.9972075 3740
7815 -1.995308  0.99720775 3741
7816 -1.9953086  0.99720811 3741
7817 -1.9953092  0.99720846 3741
7818 -1.9953098  0.99720882 3741
7819 -1.9953104  0.99720918 3741
7820 -1.995311  0.99720953 3741
7821 -1.9953116  0.99720989 3741
7822 -1.9953122  0.99721025 3741
7823 -1.9953128  0.9972106 3741
7824 -1.9953134  0.99721096 3741
7825 -1.995314  0.99721132 3741
7826 -1.9953146  0.99721167 3741
7827 -1.9953152  0.99721203 3741
7828 -1.9953158  0.99721239 3741
7829 -1.9953164  0.99721274 3741
7830 -1.995317  0.9972131 3741
7831 -1.9953176  0.99721345 3741
7832 -1.9953182  0.99721381 3741
7833 -1.9953188  0.99721417 3741
7834 -1.9953194  0.99721452 3741
7835 -1.99532  0.99721488 3741
7836 -1.9953206  0.99721523 3741
7837 -1.9953212  0.99721559 3741
7838 -1.9953218  0.99721594 3741
7839 -1.9953224  0.9972163 3741
7840 -1.995323  0.99721665 3741
7841 -1.9953236  0.99721701 3741
7842 -1.9953242  0.99721736 3741
7843 -1.9953248  0.99721772 3741
7844 -1.9953254  0.99721807 3741
7845 -1.995326  0.99721843 3741
7846 -1.9953266  0.99721878 3741
7847 -1.9953271  0.99721914 3741
7848 -1.9953277  0.99721949 3741
7849 -1.9953283  0.99721984 3741
7850 -1.9953289  0.9972202 3741
7851 -1.9953295  0.99722055 3741
7852 -1.9953301  0.99722091 3741
7853 -1.9953307  0.99722126 3741
7854 -1.9953313  0.99722161 3741
7855 -1.9953319  0.99722197 3741
7856 -1.9953325  0.99722232 3741
7857 -1.9953331  0.99722268 3741
7858 -1.9953337  0.99722303 3741
7859 -1.9953343  0.99722338 3741
7860 -1.9953349  0.99722374 3741
7861 -1.9953355  0.99722409 3741
7862 -1.9953361  0.99722444 3741
7863 -1.9953367  0.99722479 3741
7864 -1.9953372  0.99722515 3741
7865 -1.9953349  0.99722477 3743
7866 -1.9953316  0.99722415 3744
7867 -1.9953288  0.99722366 3746
7868 -1.9953269  0.99722336 3748
7869 -1.9953274  0.99722369 3749
7870 -1.995328  0.99722405 3749
7871 -1.9953286  0.9972244 3749
7872 -1.9953292  0.99722475 3749
7873 -1.9953297  0.9972251 3749
7874 -1.9953303  0.99722546 3749
7875 -1.9953309  0.99722581 3749
7876 -1.9953315  0.99722616 3749
7877 -1.9953321  0.99722651 3749
7878 -1.9953321  0.99722671 3750
7879 -1.9953321  0.99722691 3755
7880 -1.9953327  0.99722726 3755
7881 -1.9953332  0.99722761 3755
7882 -1.9953338  0.99722796 3755
7883 -1.9953341  0.99722823 3756
7884 -1.9953335  0.99722828 3758
7885 -1.9953315  0.99722799 3758
7886 -1.9953296  0.99722771 3758
7887 -1.9953274  0.99722733 3759
7888 -1.9953236  0.99722643 3762
7889 -1.9953216  0.99722615 3762
7890 -1.9953219  0.99722642 3763
7891 -1.9953225  0.99722677 3763
7892 -1.9953231  0.99722712 3763
7893 -1.9953237  0.99722747 3763
7894 -1.9953241  0.99722779 3764
7895 -1.9953222  0.9972275 3764
7896 -1.9953223  0.99722775 3765
7897 -1.9953229  0.9972281 3765
7898 -1.9953235  0.99722845 3765
7899 -1.9953241  0.9972288 3765
7900 -1.9953247  0.99722915 3765
7901 -1.9953253  0.9972295 3765
7902 -1.9953259  0.99722985 3765
7903 -1.9953265  0.9972302 3765
7904 -1.995327  0.99723055 3765
7905 -1.9953276  0.9972309 3765
7906 -1.9953282  0.99723125 3765
7907 -1.9953288  0.9972316 3765
7908 -1.995329  0.99723184 3766
7909 -1.995327  0.99723154 3768
7910 -1.9953255  0.99723137 3769
7911 -1.9953261  0.99723172 3769
7912 -1.9953267  0.99723207 3769
7913 -1.9953253  0.99723193 3770
7914 -1.9953255  0.99723219 3771
7915 -1.9953261  0.99723253 3771
7916 -1.9953267  0.99723288 3771
7917 -1.9953273  0.99723323 3771
7918 -1.9953279  0.99723358 3771
7919 -1.9953285  0.99723393 3771
7920 -1.9953291  0.99723428 3771
7921 -1.9953287  0.99723439 3773
7922 -1.9953293  0.99723474 3773
7923 -1.9953299  0.99723508 3773
7924 -1.9953305  0.99723543 3773
7925 -1.9953311  0.99723578 3773
7926 -1.9953316  0.99723613 3773
7927 -1.9953322  0.99723648 3773
7928 -1.9953328  0.99723683 3773
7929 -1.9953334  0.99723718 3773
7930 -1.995334  0.99723753 3773
7931 -1.9953346  0.99723787 3773
7932 -1.9953352  0.99723822 3773
7933 -1.9953358  0.99723857 3773
7934 -1.9953363  0.99723892 3773
7935 -1.9953369  0.99723927 3773
7936 -1.9953375  0.99723961 3773
7937 -1.9953381  0.99723996 3773
7938 -1.9953387  0.99724031 3773
7939 -1.9953393  0.99724066 3773
7940 -1.9953399  0.997241 3773
7941 -1.9953405  0.99724135 3773
7942 -1.995341  0.9972417 3773
7943 -1.9953392  0.99724144 3774
7944 -1.9953373  0.99724116 3774
7945 -1.9953376  0.99724144 3775
7946 -1.9953382  0.99724179 3775
7947 -1.9953388  0.99724214 3775
7948 -1.9953394  0.99724248 3775
7949 -1.9953389  0.99724257 3776
7950 -1.9953371  0.99724232 3777
7951 -1.9953377  0.99724266 3777
7952 -1.9953383  0.99724301 3777
7953 -1.9953389  0.99724336 3777
7954 -1.9953394  0.9972437 3777
7955 -1.995339  0.99724379 3778
7956 -1.9953387  0.99724393 3780
7957 -1.9953355  0.99724298 3782
7958 -1.995332  0.99724191 3783
7959 -1.9953288  0.997241 3783
7960 -1.9953252  0.99724014 3787
7961 -1.9953213  0.99723937 3788
7962 -1.9953194  0.99723908 3788
7963 -1.99532  0.99723942 3789
7964 -1.9953205  0.99723977 3789
7965 -1.9953211  0.99724011 3789
7966 -1.9953217  0.99724046 3789
7967 -1.9953222  0.99724078 3790
7968 -1.9953203  0.9972405 3790
7969 -1.9953184  0.99724024 3791
7970 -1.995319  0.99724059 3791
7971 -1.9953196  0.99724093 3791
7972 -1.9953202  0.99724128 3791
7973 -1.9953208  0.99724162 3791
7974 -1.9953214  0.99724197 3791
7975 -1.995322  0.99724232 3791
7976 -1.9953207  0.99724221 3792
7977 -1.9953188  0.99724193 3792
7978 -1.9953191  0.99724221 3793
7979 -1.9953197  0.99724255 3793
7980 -1.9953203  0.9972429 3793
7981 -1.9953209  0.99724324 3793
7982 -1.9953215  0.99724359 3793
7983 -1.9953221  0.99724393 3793
7984 -1.9953227  0.99724428 3793
7985 -1.9953224  0.99724441 3795
7986 -1.995323  0.99724475 3795
7987 -1.9953236  0.9972451 3795
7988 -1.9953241  0.99724544 3795
7989 -1.9953247  0.99724579 3795
7990 -1.9953253  0.99724613 3795
7991 -1.9953252  0.9972463 3796
7992 -1.9953233  0.99724602 3796
7993 -1.9953232  0.9972462 3797
7994 -1.9953238  0.99724655 3797
7995 -1.9953242  0.99724684 3799
7996 -1.9953228  0.9972467 3800
7997 -1.9953209  0.99724641 3800
7998 -1.995321  0.99724664 3801
7999 -1.9953216  0.99724698 3801
8000 -1.9953222  0.99724733 3801
8001 -1.9953227  0.99724767 3801
8002 -1.9953233  0.99724801 3801
8003 -1.9953239  0.99724836 3801
8004 -1.9953245  0.9972487 3801
8005 -1.9953231  0.99724854 3802
8006 -1.9953196  0.99724786 3803
8007 -1.9953168  0.99724736 3804
8008 -1.9953149  0.99724708 3804
8009 -1.9953153  0.99724739 3805
8010 -1.9953159  0.99724773 3805
8011 -1.9953165  0.99724808 3805
8012 -1.995317  0.99724842 3805
8013 -1.9953176  0.99724876 3805
8014 -1.9953182  0.99724911 3805
8015 -1.9953188  0.99724945 3805
8016 -1.9953194  0.99724979 3805
8017 -1.9953193  0.99724997 3806
8018 -1.9953181  0.99724987 3807
8019 -1.9953187  0.99725021 3807
8020 -1.9953193  0.99725055 3807
8021 -1.9953199  0.9972509 3807
8022 -1.9953204  0.99725124 3807
8023 -1.995321  0.99725158 3807
8024 -1.9953216  0.99725193 3807
8025 -1.9953211  0.997252 3809
8026 -1.9953212  0.99725221 3810
8027 -1.9953205  0.99725223 3811
8028 -1.9953211  0.99725258 3811
8029 -1.9953216  0.99725292 3811
8030 -1.9953222  0.99725326 3811
8031 -1.9953224  0.9972535 3812
8032 -1.9953205  0.99725322 3812
8033 -1.9953186  0.99725294 3812
8034 -1.9953164  0.99725259 3813
8035 -1.9953147  0.99725236 3815
8036 -1.9953137  0.9972523 3817
8037 -1.9953137  0.9972525 3818
8038 -1.9953118  0.99725222 3818
8039 -1.9953111  0.99725224 3819
8040 -1.9953117  0.99725258 3819
8041 -1.9953122  0.99725292 3819
8042 -1.9953128  0.99725326 3819
8043 -1.9953134  0.9972536 3819
8044 -1.995314  0.99725395 3819
8045 -1.9953146  0.99725429 3819
8046 -1.9953152  0.99725463 3819
8047 -1.9953157  0.99725497 3819
8048 -1.9953163  0.99725531 3819
8049 -1.9953169  0.99725565 3819
8050 -1.9953175  0.99725599 3819
8051 -1.9953181  0.99725633 3819
8052 -1.9953187  0.99725667 3819
8053 -1.9953192  0.99725701 3819
8054 -1.9953198  0.99725736 3819
8055 -1.9953204  0.9972577 3819
8056 -1.995321  0.99725804 3819
8057 -1.9953216  0.99725838 3819
8058 -1.9953215  0.99725856 3820
8059 -1.9953184  0.99725797 3821
8060 -1.9953152  0.99725737 3823
8061 -1.9953158  0.99725771 3823
8062 -1.9953164  0.99725805 3823
8063 -1.9953169  0.99725839 3823
8064 -1.9953175  0.99725873 3823
8065 -1.9953181  0.99725907 3823
8066 -1.9953187  0.99725941 3823
8067 -1.9953193  0.99725975 3823
8068 -1.9953198  0.99726009 3823
8069 -1.9953204  0.99726043 3823
8070 -1.995321  0.99726077 3823
8071 -1.9953216  0.99726111 3823
8072 -1.9953222  0.99726145 3823
8073 -1.9953227  0.99726179 3823
8074 -1.9953233  0.99726213 3823
8075 -1.9953229  0.99726221 3825
8076 -1.9953235  0.99726255 3825
8077 -1.995324  0.99726289 3825
8078 -1.9953246  0.99726323 3825
8079 -1.9953252  0.99726357 3825
8080 -1.9953257  0.99726389 3826
8081 -1.9953226  0.9972633 3828
8082 -1.9953225  0.99726347 3829
8083 -1.9953231  0.99726381 3829
8084 -1.9953232  0.99726403 3830
8085 -1.995323  0.99726418 3831
8086 -1.9953236  0.99726452 3831
8087 -1.9953242  0.99726486 3831
8088 -1.9953247  0.9972652 3831
8089 -1.9953253  0.99726553 3831
8090 -1.9953259  0.99726587 3831
8091 -1.9953265  0.99726621 3831
8092 -1.995327  0.99726655 3831
8093 -1.9953276  0.99726688 3831
8094 -1.9953282  0.99726722 3831
8095 -1.9953288  0.99726756 3831
8096 -1.9953294  0.9972679 3831
8097 -1.9953296  0.99726815 3832
8098 -1.9953278  0.9972679 3833
8099 -1.9953284  0.99726824 3833
8100 -1.995329  0.99726858 3833
8101 -1.9953296  0.99726891 3833
8102 -1.9953301  0.99726925 3833
8103 -1.9953307  0.99726959 3833
8104 -1.9953313  0.99726993 3833
8105 -1.9953319  0.99727026 3833
8106 -1.9953317  0.99727042 3835
8107 -1.9953323  0.99727076 3835
8108 -1.9953329  0.9972711 3835
8109 -1.9953335  0.99727143 3835
8110 -1.9953336  0.99727165 3837
8111 -1.9953341  0.99727199 3837
8112 -1.9953347  0.99727233 3837
8113 -1.9953345  0.99727246 3839
8114 -1.9953351  0.9972728 3839
8115 -1.9953356  0.99727313 3839
8116 -1.9953362  0.99727347 3839
8117 -1.9953362  0.99727367 3840
8118 -1.9953343  0.99727337 3844
8119 -1.9953331  0.99727326 3846
8120 -1.9953335  0.99727357 3847
8121 -1.9953341  0.9972739 3847
8122 -1.9953347  0.99727424 3847
8123 -1.9953352  0.99727457 3847
8124 -1.9953356  0.99727486 3848
8125 -1.9953354  0.997275 3849
8126 -1.995336  0.99727533 3849
8127 -1.9953366  0.99727567 3849
8128 -1.9953371  0.997276 3849
8129 -1.9953377  0.99727634 3849
8130 -1.9953383  0.99727667 3849
8131 -1.9953389  0.99727701 3849
8132 -1.9953394  0.99727734 3849
8133 -1.99534  0.99727768 3849
8134 -1.9953406  0.99727801 3849
8135 -1.9953412  0.99727835 3849
8136 -1.9953417  0.99727868 3849
8137 -1.9953423  0.99727902 3849
8138 -1.9953429  0.99727935 3849
8139 -1.9953434  0.99727969 3849
8140 -1.995344  0.99728002 3849
8141 -1.9953446  0.99728035 3849
8142 -1.9953452  0.99728069 3849
8143 -1.9953457  0.99728102 3849
8144 -1.9953463  0.99728136 3849
8145 -1.9953469  0.99728169 3849
8146 -1.9953474  0.99728202 3849
8147 -1.995348  0.99728236 3849
8148 -1.9953486  0.99728269 3849
8149 -1.9953492  0.99728302 3849
8150 -1.9953489  0.99728316 3850
8151 -1.9953471  0.99728288 3850
8152 -1.9953467  0.99728298 3851
8153 -1.9953472  0.9972833 3852
8154 -1.9953475  0.99728356 3853
8155 -1.995348  0.99728389 3853
8156 -1.9953486  0.99728422 3853
8157 -1.9953492  0.99728455 3853
8158 -1.9953498  0.99728489 3853
8159 -1.9953503  0.99728522 3853
8160 -1.9953509  0.99728555 3853
8161 -1.9953515  0.99728589 3853
8162 -1.9953511  0.99728597 3854
8163 -1.9953501  0.99728593 3855
8164 -1.9953507  0.99728626 3855
8165 -1.9953513  0.99728659 3855
8166 -1.9953518  0.99728693 3855
8167 -1.9953524  0.99728726 3855
8168 -1.995353  0.99728759 3855
8169 -1.9953535  0.99728792 3855
8170 -1.9953541  0.99728825 3855
8171 -1.9953531  0.99728818 3857
8172 -1.9953536  0.99728851 3857
8173 -1.9953542  0.99728885 3857
8174 -1.9953548  0.99728918 3857
8175 -1.9953553  0.99728951 3857
8176 -1.9953559  0.99728984 3857
8177 -1.9953562  0.9972901 3860
8178 -1.9953554  0.9972901 3861
8179 -1.995356  0.99729044 3861
8180 -1.9953566  0.99729077 3861
8181 -1.9953571  0.9972911 3861
8182 -1.9953577  0.99729143 3861
8183 -1.9953575  0.99729158 3862
8184 -1.9953574  0.99729174 3863
8185 -1.995358  0.99729207 3863
8186 -1.9953586  0.9972924 3863
8187 -1.9953591  0.99729273 3863
8188 -1.9953594  0.99729299 3865
8189 -1.99536  0.99729332 3865
8190 -1.9953605  0.99729365 3865
8191 -1.9953593  0.99729353 3867
8192 -1.9953599  0.99729386 3867
8193 -1.9953604  0.99729419 3867
8194 -1.995361  0.99729452 3867
8195 -1.9953616  0.99729485 3867
8196 -1.9953621  0.99729518 3867
8197 -1.9953627  0.99729551 3867
8198 -1.9953633  0.99729584 3867
8199 -1.9953638  0.99729617 3867
8200 -1.9953644  0.9972965 3867
8201 -1.995365  0.99729683 3867
8202 -1.9953655  0.99729716 3867
8203 -1.9953657  0.99729739 3868
8204 -1.9953659  0.99729764 3869
8205 -1.9953665  0.99729797 3869
8206 -1.9953671  0.9972983 3869
8207 -1.9953676  0.99729862 3869
8208 -1.9953682  0.99729895 3869
8209 -1.9953688  0.99729928 3869
8210 -1.9953693  0.99729961 3869
8211 -1.9953699  0.99729994 3870
8212 -1.9953665  0.99729909 3875
8213 -1.995363  0.9972981 3877
8214 -1.9953606  0.99729755 3878
8215 -1.9953587  0.99729727 3878
8216 -1.9953578  0.99729723 3879
8217 -1.9953584  0.99729756 3879
8218 -1.9953589  0.99729789 3879
8219 -1.9953595  0.99729822 3879
8220 -1.99536  0.99729855 3879
8221 -1.9953606  0.99729887 3879
8222 -1.9953612  0.9972992 3879
8223 -1.9953617  0.99729953 3879
8224 -1.9953623  0.99729986 3879
8225 -1.9953629  0.99730019 3879
8226 -1.9953634  0.99730052 3879
8227 -1.995364  0.99730084 3879
8228 -1.9953646  0.99730117 3879
8229 -1.9953651  0.9973015 3879
8230 -1.9953657  0.99730183 3879
8231 -1.9953662  0.99730216 3879
8232 -1.9953668  0.99730248 3879
8233 -1.9953674  0.99730281 3879
8234 -1.9953679  0.99730314 3879
8235 -1.9953685  0.99730347 3879
8236 -1.9953691  0.99730379 3879
8237 -1.9953696  0.99730412 3879
8238 -1.9953702  0.99730445 3879
8239 -1.9953707  0.99730478 3879
8240 -1.9953713  0.9973051 3879
8241 -1.9953719  0.99730543 3879
8242 -1.9953724  0.99730576 3879
8243 -1.995373  0.99730608 3879
8244 -1.9953724  0.99730612 3881
8245 -1.9953729  0.99730644 3881
8246 -1.9953735  0.99730677 3881
8247 -1.9953741  0.9973071 3881
8248 -1.9953746  0.99730742 3881
8249 -1.9953752  0.99730775 3881
8250 -1.9953757  0.99730807 3881
8251 -1.9953759  0.9973083 3882
8252 -1.995374  0.99730802 3882
8253 -1.9953738  0.99730814 3883
8254 -1.9953743  0.99730847 3883
8255 -1.9953749  0.99730879 3883
8256 -1.9953754  0.99730912 3883
8257 -1.995376  0.99730944 3883
8258 -1.9953751  0.99730939 3884
8259 -1.995375  0.99730957 3885
8260 -1.9953756  0.99730989 3885
8261 -1.9953759  0.99731017 3887
8262 -1.9953765  0.99731049 3887
8263 -1.9953771  0.99731082 3887
8264 -1.9953775  0.99731111 3889
8265 -1.995378  0.99731143 3889
8266 -1.9953753  0.99731093 3891
8267 -1.9953728  0.99731049 3892
8268 -1.9953724  0.99731058 3893
8269 -1.9953729  0.99731091 3893
8270 -1.995373  0.99731111 3895
8271 -1.9953736  0.99731143 3895
8272 -1.9953741  0.99731176 3895
8273 -1.9953747  0.99731208 3895
8274 -1.9953752  0.99731241 3895
8275 -1.9953758  0.99731273 3895
8276 -1.9953764  0.99731306 3895
8277 -1.9953769  0.99731338 3895
8278 -1.9953775  0.99731371 3895
8279 -1.995378  0.99731403 3895
8280 -1.9953786  0.99731435 3895
8281 -1.9953792  0.99731468 3895
8282 -1.9953797  0.997315 3895
8283 -1.9953803  0.99731533 3895
8284 -1.9953808  0.99731565 3895
8285 -1.9953791  0.99731541 3897
8286 -1.9953797  0.99731574 3897
8287 -1.9953803  0.99731606 3897
8288 -1.9953802  0.99731622 3898
8289 -1.9953795  0.99731625 3899
8290 -1.9953801  0.99731658 3899
8291 -1.9953807  0.9973169 3899
8292 -1.9953812  0.99731722 3899
8293 -1.9953818  0.99731755 3899
8294 -1.9953823  0.99731787 3899
8295 -1.9953829  0.99731819 3899
8296 -1.9953834  0.99731852 3899
8297 -1.995384  0.99731884 3899
8298 -1.9953846  0.99731916 3899
8299 -1.9953851  0.99731949 3899
8300 -1.9953857  0.99731981 3899
8301 -1.9953862  0.99732013 3899
8302 -1.9953868  0.99732046 3899
8303 -1.9953873  0.99732078 3899
8304 -1.9953879  0.9973211 3899
8305 -1.9953884  0.99732142 3899
8306 -1.995389  0.99732175 3899
8307 -1.9953896  0.99732207 3899
8308 -1.9953901  0.99732239 3899
8309 -1.9953907  0.99732271 3899
8310 -1.9953912  0.99732304 3899
8311 -1.9953918  0.99732336 3899
8312 -1.9953923  0.99732368 3899
8313 -1.9953929  0.997324 3899
8314 -1.9953934  0.99732432 3899
8315 -1.995394  0.99732465 3899
8316 -1.9953945  0.99732497 3899
8317 -1.9953951  0.99732529 3899
8318 -1.9953957  0.99732561 3899
8319 -1.9953962  0.99732593 3899
8320 -1.9953968  0.99732625 3899
8321 -1.9953973  0.99732657 3899
8322 -1.9953979  0.9973269 3899
8323 -1.9953984  0.99732722 3899
8324 -1.995399  0.99732754 3899
8325 -1.9953995  0.99732786 3899
8326 -1.9954001  0.99732818 3899
8327 -1.9954006  0.9973285 3899
8328 -1.9954012  0.99732882 3899
8329 -1.9954017  0.99732914 3899
8330 -1.9954023  0.99732946 3899
8331 -1.9954028  0.99732978 3899
8332 -1.9954034  0.9973301 3899
8333 -1.9954039  0.99733042 3899
8334 -1.9954045  0.99733074 3899
8335 -1.995405  0.99733106 3899
8336 -1.9954056  0.99733138 3899
8337 -1.9954062  0.99733171 3899
8338 -1.9954067  0.99733203 3899
8339 -1.9954073  0.99733235 3899
8340 -1.9954078  0.99733266 3899
8341 -1.9954084  0.99733298 3899
8342 -1.9954089  0.9973333 3899
8343 -1.9954095  0.99733362 3899
8344 -1.99541  0.99733394 3899
8345 -1.9954106  0.99733426 3899
8346 -1.9954111  0.99733458 3899
8347 -1.9954117  0.9973349 3899
8348 -1.9954122  0.99733522 3899
8349 -1.9954127  0.99733552 3901
8350 -1.9954132  0.99733584 3901
8351 -1.9954138  0.99733616 3901
8352 -1.9954143  0.99733648 3901
8353 -1.9954149  0.9973368 3901
8354 -1.9954154  0.99733712 3901
8355 -1.995416  0.99733744 3901
8356 -1.9954154  0.99733748 3902
8357 -1.9954136  0.9973372 3902
8358 -1.9954139  0.99733747 3903
8359 -1.9954145  0.99733779 3903
8360 -1.995415  0.9973381 3903
8361 -1.9954156  0.99733842 3903
8362 -1.9954161  0.99733874 3903
8363 -1.9954167  0.99733906 3903
8364 -1.9954172  0.99733938 3903
8365 -1.9954178  0.9973397 3903
8366 -1.9954182  0.99733997 3905
8367 -1.9954187  0.99734029 3905
8368 -1.9954192  0.99734061 3905
8369 -1.9954198  0.99734093 3905
8370 -1.9954203  0.99734125 3905
8371 -1.9954209  0.99734156 3905
8372 -1.9954214  0.99734188 3905
8373 -1.995422  0.9973422 3905
8374 -1.9954225  0.99734252 3905
8375 -1.9954231  0.99734283 3905
8376 -1.9954236  0.99734315 3905
8377 -1.9954242  0.99734347 3905
8378 -1.9954247  0.99734378 3905
8379 -1.9954253  0.9973441 3905
8380 -1.9954255  0.99734434 3906
8381 -1.9954237  0.99734406 3906
8382 -1.995424  0.99734432 3907
8383 -1.9954245  0.99734464 3907
8384 -1.9954251  0.99734495 3907
8385 -1.9954256  0.99734527 3907
8386 -1.9954254  0.99734539 3908
8387 -1.9954235  0.99734511 3908
8388 -1.9954232  0.99734521 3909
8389 -1.9954238  0.99734553 3909
8390 -1.9954243  0.99734584 3909
8391 -1.9954248  0.99734616 3909
8392 -1.9954254  0.99734648 3909
8393 -1.9954259  0.99734679 3909
8394 -1.9954265  0.99734711 3909
8395 -1.995427  0.99734742 3909
8396 -1.9954276  0.99734774 3909
8397 -1.9954281  0.99734806 3909
8398 -1.9954287  0.99734837 3909
8399 -1.9954292  0.99734869 3909
8400 -1.9954297  0.997349 3909
8401 -1.9954303  0.99734932 3909
8402 -1.9954308  0.99734963 3909
8403 -1.9954314  0.99734995 3909
8404 -1.9954319  0.99735026 3909
8405 -1.9954325  0.99735058 3909
8406 -1.995433  0.9973509 3909
8407 -1.9954336  0.99735121 3909
8408 -1.9954341  0.99735153 3909
8409 -1.9954346  0.99735184 3909
8410 -1.9954352  0.99735216 3909
8411 -1.9954357  0.99735247 3909
8412 -1.9954363  0.99735278 3909
8413 -1.9954368  0.9973531 3909
8414 -1.9954374  0.99735341 3909
8415 -1.9954379  0.99735373 3909
8416 -1.9954384  0.99735404 3909
8417 -1.9954371  0.99735388 3911
8418 -1.9954368  0.997354 3913
8419 -1.9954374  0.99735431 3913
8420 -1.9954379  0.99735463 3913
8421 -1.9954384  0.99735494 3913
8422 -1.995439  0.99735525 3913
8423 -1.9954395  0.99735557 3913
