190 -1.9971329  0.99926901 48
191 -1.9971435  0.99927173 50
192 -1.9971583  0.99927552 50
193 -1.9971731  0.99927927 50
194 -1.9971876  0.99928299 50
195 -1.9972021  0.99928667 50
196 -1.9972163  0.99929031 50
197 -1.9972305  0.99929391 50
198 -1.9972444  0.99929747 50
199 -1.9972583  0.99930101 50
200 -1.997272  0.9993045 50
201 -1.9972856  0.99930796 50
202 -1.997299  0.99931139 50
203 -1.9973123  0.99931478 50
204 -1.9973255  0.99931814 50
205 -1.9973385  0.99932146 50
206 -1.9973515  0.99932476 50
207 -1.9973643  0.99932802 50
208 -1.9973769  0.99933125 50
209 -1.9973478  0.99932404 52
210 -1.9973605  0.99932726 52
211 -1.997373  0.99933045 52
212 -1.9973854  0.99933361 52
213 -1.9973977  0.99933674 52
214 -1.9974098  0.99933984 52
215 -1.9974219  0.99934291 52
216 -1.9974338  0.99934595 52
217 -1.9974357  0.99934649 53
218 -1.9973713  0.99933045 54
219 -1.9973833  0.9993335 54
220 -1.9973952  0.99933653 54
221 -1.997407  0.99933954 54
222 -1.9974187  0.99934251 54
223 -1.9974303  0.99934546 54
224 -1.9973621  0.99932846 56
225 -1.9973738  0.99933144 56
226 -1.9973854  0.9993344 56
227 -1.9973969  0.99933733 56
228 -1.9973693  0.99933048 57
229 -1.9972934  0.99931157 57
230 -1.9972624  0.99930386 58
231 -1.9972742  0.99930687 58
232 -1.997286  0.99930986 58
233 -1.9972897  0.99931084 60
234 -1.9973013  0.99931378 60
235 -1.9973128  0.9993167 60
236 -1.9973087  0.99931573 61
237 -1.9972435  0.99929947 62
238 -1.997255  0.99930242 62
239 -1.9972665  0.99930533 62
240 -1.9972779  0.99930823 62
241 -1.9972892  0.9993111 62
242 -1.9973004  0.99931395 62
243 -1.9972903  0.99931147 65
244 -1.9972869  0.99931066 66
245 -1.9972935  0.99931235 68
246 -1.9973045  0.99931514 68
247 -1.9973154  0.99931791 68
248 -1.9973262  0.99932067 68
249 -1.9973369  0.99932339 68
250 -1.9973418  0.99932465 69
251 -1.9972727  0.99930742 69
252 -1.9972677  0.9993062 70
253 -1.9972785  0.99930894 70
254 -1.9972892  0.99931166 70
255 -1.9972998  0.99931436 70
256 -1.9972777  0.99930889 71
257 -1.9972879  0.99931148 72
258 -1.9972984  0.99931415 72
259 -1.9973089  0.9993168 72
260 -1.9973192  0.99931942 72
261 -1.9973295  0.99932203 72
262 -1.9973397  0.99932462 72
263 -1.9973498  0.99932719 72
264 -1.9973598  0.99932973 72
265 -1.9973698  0.99933226 72
266 -1.9973797  0.99933477 72
267 -1.9973434  0.99932575 73
268 -1.9973183  0.9993195 76
269 -1.9973283  0.99932203 76
270 -1.9973381  0.99932454 76
271 -1.997348  0.99932703 76
272 -1.9973577  0.9993295 76
273 -1.9973674  0.99933196 76
274 -1.997377  0.9993344 76
275 -1.9973865  0.99933682 76
276 -1.997396  0.99933922 76
277 -1.9974054  0.99934161 76
278 -1.9974147  0.99934397 76
279 -1.9973765  0.99933445 77
280 -1.9973188  0.99932004 78
281 -1.9973283  0.99932246 78
282 -1.9973378  0.99932487 78
283 -1.9973472  0.99932725 78
284 -1.9973565  0.99932962 78
285 -1.9973658  0.99933197 78
286 -1.997375  0.99933431 78
287 -1.9973841  0.99933663 78
288 -1.9973932  0.99933893 78
289 -1.9974022  0.99934122 78
290 -1.9974112  0.99934349 78
291 -1.9974201  0.99934575 78
292 -1.9974289  0.99934799 78
293 -1.9974377  0.99935021 78
294 -1.9974464  0.99935242 78
295 -1.9974551  0.99935462 78
296 -1.9974637  0.9993568 78
297 -1.9974722  0.99935896 78
298 -1.9974807  0.99936112 78
299 -1.9974891  0.99936325 78
300 -1.9974975  0.99936538 78
301 -1.9975058  0.99936748 78
302 -1.9975141  0.99936958 78
303 -1.9975223  0.99937166 78
304 -1.9975304  0.99937373 78
305 -1.9975385  0.99937578 78
306 -1.9975466  0.99937782 78
307 -1.9975546  0.99937985 78
308 -1.9975625  0.99938186 78
309 -1.9975704  0.99938386 78
310 -1.9975337  0.99937472 79
311 -1.9974773  0.99936065 79
312 -1.9974333  0.99934968 80
313 -1.9974415  0.99935176 80
314 -1.9974497  0.99935382 80
315 -1.9974578  0.99935587 80
316 -1.9974658  0.99935791 80
317 -1.9974738  0.99935994 80
318 -1.9974818  0.99936195 80
319 -1.9974897  0.99936395 80
320 -1.9974975  0.99936594 80
321 -1.9975053  0.99936791 80
322 -1.997513  0.99936988 80
323 -1.9975207  0.99937183 80
324 -1.9975284  0.99937377 80
325 -1.997536  0.99937569 80
326 -1.9975436  0.99937761 80
327 -1.9975511  0.99937951 80
328 -1.9975585  0.9993814 80
329 -1.997566  0.99938328 80
330 -1.9975733  0.99938515 80
331 -1.9975807  0.99938701 80
332 -1.997588  0.99938886 80
333 -1.9975952  0.99939069 80
334 -1.9976024  0.99939251 80
335 -1.9976096  0.99939433 80
336 -1.9976167  0.99939613 80
337 -1.9976237  0.99939792 80
338 -1.9976308  0.9993997 80
339 -1.9976378  0.99940147 80
340 -1.9976447  0.99940324 80
341 -1.9976516  0.99940499 80
342 -1.9976341  0.99940062 82
343 -1.997641  0.99940237 82
344 -1.9976478  0.99940411 82
345 -1.9976546  0.99940583 82
346 -1.9976614  0.99940755 82
347 -1.9976682  0.99940926 82
348 -1.9976749  0.99941096 82
349 -1.9976815  0.99941264 82
350 -1.9976551  0.99940607 83
351 -1.9976617  0.99940773 84
352 -1.9976629  0.99940806 85
353 -1.9976263  0.99939894 87
354 -1.9976148  0.99939608 88
355 -1.9976215  0.99939778 88
356 -1.997577  0.99938666 89
357 -1.9975277  0.99937437 89
358 -1.9974788  0.99936215 89
359 -1.9974561  0.99935651 90
360 -1.9974301  0.99935003 91
361 -1.9973819  0.99933798 91
362 -1.9973338  0.999326 91
363 -1.9973218  0.99932183 94
364 -1.9973291  0.9993237 94
365 -1.9973364  0.99932555 94
366 -1.9973437  0.99932739 94
367 -1.997351  0.99932922 94
368 -1.9973582  0.99933105 94
369 -1.9973653  0.99933286 94
370 -1.9973724  0.99933466 94
371 -1.9973795  0.99933646 94
372 -1.9973866  0.99933824 94
373 -1.9973936  0.99934001 94
374 -1.9974005  0.99934178 94
375 -1.9974075  0.99934353 94
376 -1.9974144  0.99934528 94
377 -1.9974212  0.99934702 94
378 -1.997428  0.99934874 94
379 -1.9974348  0.99935046 94
380 -1.9974416  0.99935217 94
381 -1.9974346  0.99935046 96
382 -1.9974414  0.99935216 96
383 -1.997448  0.99935385 96
384 -1.9974547  0.99935553 96
385 -1.9974613  0.99935721 96
386 -1.9974679  0.99935887 96
387 -1.9974744  0.99936053 96
388 -1.9974809  0.99936218 96
389 -1.9974874  0.99936382 96
390 -1.9974938  0.99936545 96
391 -1.9975003  0.99936707 96
392 -1.9975066  0.99936869 96
393 -1.997513  0.99937029 96
394 -1.9975193  0.99937189 96
395 -1.9975256  0.99937348 96
396 -1.9975318  0.99937506 96
397 -1.997538  0.99937664 96
398 -1.9975442  0.9993782 96
399 -1.9975504  0.99937976 96
400 -1.9975419  0.99937766 97
401 -1.9974981  0.99936674 97
402 -1.9974546  0.99935588 97
403 -1.9974125  0.99934538 98
404 -1.9974189  0.999347 98
405 -1.9974152  0.99934608 99
406 -1.9973917  0.99934024 100
407 -1.9973982  0.99934186 100
408 -1.9974045  0.99934347 100
409 -1.9974109  0.99934508 100
410 -1.9974172  0.99934668 100
411 -1.9974235  0.99934827 100
412 -1.9974297  0.99934985 100
413 -1.9974262  0.99934897 101
414 -1.9973914  0.99934031 102
415 -1.9973977  0.9993419 102
416 -1.997404  0.99934348 102
417 -1.9974102  0.99934505 102
418 -1.9974073  0.99934435 104
419 -1.9974135  0.99934591 104
420 -1.9974196  0.99934747 104
421 -1.9974258  0.99934902 104
422 -1.9974014  0.99934295 105
423 -1.9974007  0.99934279 106
424 -1.9974068  0.99934434 106
425 -1.9974129  0.99934588 106
426 -1.997419  0.99934742 106
427 -1.9974251  0.99934895 106
428 -1.9974311  0.99935047 106
429 -1.9974371  0.99935198 106
430 -1.997443  0.99935349 106
431 -1.997449  0.99935499 106
432 -1.9974549  0.99935648 106
433 -1.9974607  0.99935797 106
434 -1.9974666  0.99935945 106
435 -1.9974724  0.99936092 106
436 -1.9974782  0.99936239 106
437 -1.997484  0.99936384 106
438 -1.9974897  0.9993653 106
439 -1.9974954  0.99936674 106
440 -1.9975011  0.99936818 106
441 -1.9975068  0.99936961 106
442 -1.9975124  0.99937104 106
443 -1.9975181  0.99937246 106
444 -1.9975236  0.99937387 106
445 -1.9975292  0.99937528 106
446 -1.9975348  0.99937668 106
447 -1.9975403  0.99937808 106
448 -1.9975252  0.99937433 107
449 -1.9974862  0.99936459 107
450 -1.9974473  0.99935489 107
451 -1.9974118  0.99934601 108
452 -1.9974175  0.99934746 108
453 -1.9974232  0.9993489 108
454 -1.9974289  0.99935033 108
455 -1.9974345  0.99935176 108
456 -1.9974401  0.99935318 108
457 -1.9974457  0.9993546 108
458 -1.9974513  0.999356 108
459 -1.9974569  0.99935741 108
460 -1.9974624  0.9993588 108
461 -1.9974679  0.9993602 108
462 -1.9974734  0.99936158 108
463 -1.9974788  0.99936296 108
464 -1.9974843  0.99936433 108
465 -1.9974897  0.9993657 108
466 -1.9974951  0.99936706 108
467 -1.9975004  0.99936842 108
468 -1.9975058  0.99936976 108
469 -1.9974991  0.99936812 110
470 -1.9975045  0.99936947 110
471 -1.9975098  0.99937081 110
472 -1.997515  0.99937214 110
473 -1.9975203  0.99937347 110
474 -1.9975255  0.99937479 110
475 -1.9975307  0.99937611 110
476 -1.9975359  0.99937742 110
477 -1.9975411  0.99937872 110
478 -1.9975462  0.99938002 110
479 -1.9975353  0.9993773 111
480 -1.9975346  0.99937714 112
481 -1.9975397  0.99937843 112
482 -1.9975133  0.99937184 113
483 -1.997477  0.99936278 113
484 -1.9974602  0.9993586 116
485 -1.9974655  0.99935992 116
486 -1.9974707  0.99936124 116
487 -1.9974759  0.99936255 116
488 -1.997481  0.99936386 116
489 -1.9974862  0.99936516 116
490 -1.9974913  0.99936645 116
491 -1.9974846  0.99936479 117
492 -1.9974491  0.99935592 117
493 -1.9974137  0.99934708 117
494 -1.9974101  0.9993462 118
495 -1.9974154  0.99934753 118
496 -1.9974206  0.99934884 118
497 -1.9974101  0.99934623 120
498 -1.9974153  0.99934754 120
499 -1.9974204  0.99934885 120
500 -1.9974256  0.99935015 120
501 -1.9974307  0.99935145 120
502 -1.9974359  0.99935274 120
503 -1.997441  0.99935403 120
504 -1.997446  0.99935531 120
505 -1.9974427  0.99935448 121
506 -1.9974465  0.99935546 122
507 -1.9974516  0.99935673 122
